nu,sigma,regime,frac_free,frac_costly,frac_impossible
0.33,0.18618001761526676,free,1.0,0.0,0.0
0.33,0.3223600352305335,free,1.0,0.0,0.0
0.33,0.4585400528458003,free,1.0,0.0,0.0
0.33,0.5947200704610671,free,1.0,0.0,0.0
0.33,0.7309000880763339,free,1.0,0.0,0.0
0.33,0.8670801056916007,free,1.0,0.0,0.0
0.33,1.0032601233068674,free,0.75,0.25,0.0
0.33,1.1394401409221342,costly,0.25,0.75,0.0
0.33,1.275620158537401,impossible,0.25,0.25,0.5
0.33,1.4118001761526677,impossible,0.25,0.0,0.75
0.33,1.5479801937679345,impossible,0.25,0.0,0.75
0.33,1.6841602113832013,impossible,0.25,0.0,0.75
0.33,1.820340228998468,impossible,0.25,0.0,0.75
0.33,1.9565202466137348,impossible,0.25,0.0,0.75
0.33,2.092700264229001,impossible,0.0,0.25,0.75
0.33,2.228880281844268,impossible,0.0,0.25,0.75
0.33,2.365060299459535,impossible,0.0,0.0,1.0
0.33,2.5012403170748017,impossible,0.0,0.0,1.0
0.33,2.637420334690068,impossible,0.0,0.0,1.0
0.33,2.773600352305335,impossible,0.0,0.0,1.0
0.33,2.909780369920602,impossible,0.0,0.0,1.0
0.33,3.0459603875358687,impossible,0.0,0.0,1.0
0.33,3.1821404051511353,impossible,0.0,0.0,1.0
0.33,3.3183204227664023,impossible,0.0,0.0,1.0
0.33,3.4545004403816693,impossible,0.0,0.0,1.0
0.33,3.590680457996936,impossible,0.0,0.0,1.0
0.33,3.7268604756122024,impossible,0.0,0.0,1.0
0.33,3.8630404932274693,impossible,0.0,0.0,1.0
0.33,3.9992205108427363,impossible,0.0,0.0,1.0
0.33,4.135400528458002,impossible,0.0,0.0,1.0
0.33,4.271580546073269,impossible,0.0,0.0,1.0
0.33,4.407760563688536,impossible,0.0,0.0,1.0
0.33,4.543940581303803,impossible,0.0,0.0,1.0
0.33,4.68012059891907,impossible,0.0,0.0,1.0
0.33,4.8163006165343365,impossible,0.0,0.0,1.0
0.33,4.9524806341496035,impossible,0.0,0.0,1.0
0.33,5.0886606517648705,impossible,0.0,0.0,1.0
0.33,5.224840669380137,impossible,0.0,0.0,1.0
0.33,5.361020686995404,impossible,0.0,0.0,1.0
0.42,0.05,free,1.0,0.0,0.0
0.42,0.18618001761526676,free,1.0,0.0,0.0
0.42,0.3223600352305335,free,1.0,0.0,0.0
0.42,0.4585400528458003,free,1.0,0.0,0.0
0.42,0.5947200704610671,free,1.0,0.0,0.0
0.42,0.7309000880763339,free,1.0,0.0,0.0
0.42,0.8670801056916007,free,1.0,0.0,0.0
0.42,1.0032601233068674,free,1.0,0.0,0.0
0.42,1.1394401409221342,free,1.0,0.0,0.0
0.42,1.275620158537401,free,0.75,0.25,0.0
0.42,1.4118001761526677,costly,0.5,0.5,0.0
0.42,1.5479801937679345,free,0.5,0.25,0.25
0.42,1.6841602113832013,impossible,0.25,0.25,0.5
0.42,1.820340228998468,impossible,0.25,0.25,0.5
0.42,1.9565202466137348,impossible,0.25,0.25,0.5
0.42,2.092700264229001,impossible,0.25,0.25,0.5
0.42,2.228880281844268,impossible,0.25,0.0,0.75
0.42,2.365060299459535,impossible,0.25,0.0,0.75
0.42,2.5012403170748017,impossible,0.25,0.0,0.75
0.42,2.637420334690068,impossible,0.0,0.25,0.75
0.42,2.773600352305335,impossible,0.0,0.25,0.75
0.42,2.909780369920602,impossible,0.0,0.25,0.75
0.42,3.0459603875358687,impossible,0.0,0.25,0.75
0.42,3.1821404051511353,impossible,0.0,0.25,0.75
0.42,3.3183204227664023,impossible,0.0,0.25,0.75
0.42,3.4545004403816693,impossible,0.0,0.25,0.75
0.42,3.590680457996936,impossible,0.0,0.0,1.0
0.42,3.7268604756122024,impossible,0.0,0.0,1.0
0.42,3.8630404932274693,impossible,0.0,0.0,1.0
0.42,3.9992205108427363,impossible,0.0,0.0,1.0
0.42,4.135400528458002,impossible,0.0,0.0,1.0
0.42,4.271580546073269,impossible,0.0,0.0,1.0
0.42,4.407760563688536,impossible,0.0,0.0,1.0
0.42,4.543940581303803,impossible,0.0,0.0,1.0
0.42,4.68012059891907,impossible,0.0,0.0,1.0
0.42,4.8163006165343365,impossible,0.0,0.0,1.0
0.42,4.9524806341496035,impossible,0.0,0.0,1.0
0.42,5.0886606517648705,impossible,0.0,0.0,1.0
0.42,5.224840669380137,impossible,0.0,0.0,1.0
0.42,5.361020686995404,impossible,0.0,0.0,1.0
0.5,0.05,free,1.0,0.0,0.0
0.5,0.18618001761526676,free,1.0,0.0,0.0
0.5,0.3223600352305335,free,1.0,0.0,0.0
0.5,0.4585400528458003,free,1.0,0.0,0.0
0.5,0.5947200704610671,free,1.0,0.0,0.0
0.5,0.7309000880763339,free,1.0,0.0,0.0
0.5,0.8670801056916007,free,1.0,0.0,0.0
0.5,1.0032601233068674,free,1.0,0.0,0.0
0.5,1.1394401409221342,free,1.0,0.0,0.0
0.5,1.275620158537401,free,0.75,0.25,0.0
0.5,1.4118001761526677,free,0.75,0.25,0.0
0.5,1.5479801937679345,free,0.75,0.0,0.25
0.5,1.6841602113832013,free,0.75,0.0,0.25
0.5,1.820340228998468,free,0.75,0.0,0.25
0.5,1.9565202466137348,free,0.75,0.0,0.25
0.5,2.092700264229001,free,0.75,0.0,0.25
0.5,2.228880281844268,free,0.5,0.25,0.25
0.5,2.365060299459535,free,0.5,0.25,0.25
0.5,2.5012403170748017,costly,0.25,0.5,0.25
0.5,2.637420334690068,costly,0.0,0.75,0.25
0.5,2.773600352305335,costly,0.0,0.75,0.25
0.5,2.909780369920602,costly,0.0,0.625,0.375
0.5,3.0459603875358687,impossible,0.0,0.5,0.5
0.5,3.1821404051511353,impossible,0.0,0.25,0.75
0.5,3.3183204227664023,impossible,0.0,0.25,0.75
0.5,3.4545004403816693,impossible,0.0,0.16666666666666666,0.8333333333333334
0.5,3.590680457996936,impossible,0.0,0.0,1.0
0.5,3.7268604756122024,impossible,0.0,0.0,1.0
0.5,3.8630404932274693,impossible,0.0,0.0,1.0
0.5,3.9992205108427363,impossible,0.0,0.0,1.0
0.5,4.135400528458002,impossible,0.0,0.0,1.0
0.5,4.271580546073269,impossible,0.0,0.0,1.0
0.5,4.407760563688536,impossible,0.0,0.0,1.0
0.5,4.543940581303803,impossible,0.0,0.0,1.0
0.5,4.68012059891907,impossible,0.0,0.0,1.0
0.5,4.8163006165343365,impossible,0.0,0.0,1.0
0.5,4.9524806341496035,impossible,0.0,0.0,1.0
0.5,5.0886606517648705,impossible,0.0,0.0,1.0
0.5,5.224840669380137,impossible,0.0,0.0,1.0
0.5,5.361020686995404,impossible,0.0,0.0,1.0
0.67,0.05,free,1.0,0.0,0.0
0.67,0.18618001761526676,free,1.0,0.0,0.0
0.67,0.3223600352305335,free,1.0,0.0,0.0
0.67,0.4585400528458003,free,1.0,0.0,0.0
0.67,0.5947200704610671,free,1.0,0.0,0.0
0.67,0.7309000880763339,free,1.0,0.0,0.0
0.67,0.8670801056916007,free,1.0,0.0,0.0
0.67,1.0032601233068674,free,1.0,0.0,0.0
0.67,1.1394401409221342,free,1.0,0.0,0.0
0.67,1.275620158537401,free,1.0,0.0,0.0
0.67,1.4118001761526677,free,1.0,0.0,0.0
0.67,1.5479801937679345,free,1.0,0.0,0.0
0.67,1.6841602113832013,free,1.0,0.0,0.0
0.67,1.820340228998468,free,0.75,0.25,0.0
0.67,1.9565202466137348,free,0.5,0.25,0.25
0.67,2.092700264229001,free,0.5,0.25,0.25
0.67,2.228880281844268,free,0.5,0.16666666666666666,0.3333333333333333
0.67,2.365060299459535,impossible,0.5,0.0,0.5
0.67,2.5012403170748017,impossible,0.5,0.0,0.5
0.67,2.637420334690068,impossible,0.5,0.0,0.5
0.67,2.773600352305335,impossible,0.5,0.0,0.5
0.67,2.909780369920602,impossible,0.5,0.0,0.5
0.67,3.0459603875358687,impossible,0.25,0.25,0.5
0.67,3.1821404051511353,impossible,0.25,0.25,0.5
0.67,3.3183204227664023,impossible,0.0,0.5,0.5
0.67,3.4545004403816693,impossible,0.0,0.5,0.5
0.67,3.590680457996936,impossible,0.0,0.5,0.5
0.67,3.7268604756122024,impossible,0.0,0.5,0.5
0.67,3.8630404932274693,impossible,0.0,0.5,0.5
0.67,3.9992205108427363,impossible,0.0,0.5,0.5
0.67,4.135400528458002,impossible,0.0,0.5,0.5
0.67,4.271580546073269,impossible,0.0,0.5,0.5
0.67,4.407760563688536,impossible,0.0,0.5,0.5
0.67,4.543940581303803,impossible,0.0,0.4583333333333333,0.5416666666666666
0.67,4.68012059891907,impossible,0.0,0.4166666666666667,0.5833333333333334
0.67,4.8163006165343365,impossible,0.0,0.20833333333333334,0.7916666666666666
0.67,4.9524806341496035,impossible,0.0,0.16666666666666666,0.8333333333333334
0.67,5.0886606517648705,impossible,0.0,0.125,0.875
0.67,5.224840669380137,impossible,0.0,0.0,1.0
0.67,5.361020686995404,impossible,0.0,0.0,1.0
