method,n,single_rate,best_of_30,median_draws,gap_mean
argmax,30,0.23333333333333334,0.23333333333333334,1.0,0.013600393295529294
independent,30,0.36666666666666664,0.9666666666666667,2.0,0.023627873364212158
dependent,30,0.7666666666666667,0.9666666666666667,1.0,0.05979314390210389
dependent+repair,30,1.0,1.0,1.0,0.04506476768452636
