nu,tau_d,iv,it,sdp_feasible_rate,empirical_rate,lambda_E,wrench_feasible_rate,sigma_req
0.0,1.0,0,0,0.0,0.0,0.029999607877492136,1.0,0.25
0.18,1.0,1,0,1.0,1.0,1.492389241097468,1.0,0.25
0.36,1.0,2,0,1.0,1.0,2.4070582346770126,1.0,0.25
0.54,1.0,3,0,1.0,0.75,3.7969928094654843,1.0,0.25
0.72,1.0,4,0,1.0,0.0,4.6068897057607545,1.0,0.25
0.9,1.0,5,0,1.0,0.0,5.962740324547642,1.0,0.25
0.0,3.2,0,1,0.0,0.0,0.029999578965904897,1.0,0.25
0.18,3.2,1,1,1.0,1.0,1.492392967863299,1.0,0.25
0.36,3.2,2,1,1.0,1.0,2.4070488182139673,1.0,0.25
0.54,3.2,3,1,1.0,0.75,3.796995345628406,1.0,0.25
0.72,3.2,4,1,1.0,0.0,4.606889780003556,1.0,0.25
0.9,3.2,5,1,1.0,0.0,5.962734434468362,1.0,0.25
0.0,5.4,0,2,0.0,0.0,0.029999514703596943,1.0,0.25
0.18,5.4,1,2,1.0,1.0,1.4923845356063419,1.0,0.25
0.36,5.4,2,2,1.0,1.0,2.407058368897501,1.0,0.25
0.54,5.4,3,2,1.0,1.0,3.7969842653116634,1.0,0.25
0.72,5.4,4,2,1.0,0.5,4.606871703563156,1.0,0.25
0.9,5.4,5,2,1.0,0.0,5.9627388277517905,1.0,0.25
0.0,7.6000000000000005,0,3,0.0,0.0,0.029997154172211687,1.0,0.25
0.18,7.6000000000000005,1,3,1.0,0.0,1.359549770001796,1.0,0.25
0.36,7.6000000000000005,2,3,1.0,1.0,2.2552492151639476,1.0,0.25
0.54,7.6000000000000005,3,3,1.0,1.0,3.511095354737755,1.0,0.25
0.72,7.6000000000000005,4,3,1.0,0.75,4.354844725223293,1.0,0.25
0.9,7.6000000000000005,5,3,1.0,0.25,5.667480787711188,1.0,0.25
0.0,9.8,0,4,0.0,0.0,nan,0.0,0.25
0.18,9.8,1,4,0.0,0.0,0.14923790925282138,0.5,0.25
0.36,9.8,2,4,1.0,0.0,0.8108843807321287,1.0,0.25
0.54,9.8,3,4,1.0,0.0,1.6065543845676264,1.0,0.25
0.72,9.8,4,4,1.0,1.0,2.67281892543931,1.0,0.25
0.9,9.8,5,4,1.0,1.0,3.738748574257352,1.0,0.25
0.0,12.0,0,5,0.0,0.0,nan,0.0,0.25
0.18,12.0,1,5,0.0,0.0,nan,0.0,0.25
0.36,12.0,2,5,0.0,0.0,nan,0.0,0.25
0.54,12.0,3,5,0.0,0.0,nan,0.0,0.25
0.72,12.0,4,5,0.5,0.0,0.8737049264965633,0.5,0.25
0.9,12.0,5,5,1.0,0.75,1.4894534662816863,1.0,0.25
