seed,sigma,P,regime,Lambda_E,Lambda_X,V_star,feasible
5,0.25637827202120583,-0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,0.4012326782445385,-0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,0.5460870844678711,-0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,0.6909414906912039,0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,0.8357958969145365,0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,0.9806503031378693,0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.1255047093612018,0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.2703591155845344,-0.000000,free,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.4152135218078672,0.143284,costly,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.5600679280312,0.956880,costly,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.7049223342545325,2.836987,costly,1.281891360106029,1.846880691389998,71.99999999999999,True
5,1.8497767404778651,inf,impossible,1.281891360106029,1.846880691389998,71.99999999999999,False
5,1.994631146701198,inf,impossible,1.281891360106029,1.846880691389998,71.99999999999999,False
