attenuation,method,lambda2_bar,certified,min_lambda2_geo,min_transfer_margin,alpha_fitted,max_sync_err,terminal_sync_err,mission_completed,success
1.0,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
1.0,HARD,0.3364609100182326,True,0.3755945176260233,0.03913360760779072,0.10821824051241986,0.05389730704347934,0.0,True,True
1.0,WISE,0.39887612755514545,True,0.4355885700175879,0.03671244246244243,0.1555663596451264,0.05377369504421203,0.0,True,True
0.9,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
0.9,HARD,0.3047287291529499,True,0.34032207199108705,0.03559334283813714,0.08014256897929231,0.05353281545738431,0.0,True,True
0.9,WISE,0.3629669509738164,True,0.3963596157940116,0.03339266482019515,0.12524383489034271,0.053403906133035695,0.0,True,True
0.8,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
0.8,HARD,0.2728418520205865,False,0.30482083475942123,0.03197898273883476,0.051463195064350466,0.053084492068358746,0.0,True,True
0.8,WISE,0.3266891201056081,True,0.35672274303989976,0.03003362293429168,0.0940734233949605,0.05297102771537926,0.0,True,True
0.7,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
0.7,HARD,0.24076210427038092,False,0.26903820668964107,0.028276102419260152,0.022146070553149856,0.052492164138498776,0.0,True,True
0.7,WISE,0.28995610582343667,False,0.31658259727538274,0.026626491451946066,0.06199484475843274,0.052450118170465854,0.0,True,True
0.6,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
0.6,HARD,0.20843615948532052,False,0.23290189161179217,0.024465732126471657,-0.007856460671243876,0.0516108759598819,0.0,True,True
0.6,WISE,0.25265082265205085,False,0.27581228488324483,0.023161462231193974,0.02892136126619113,0.05177920556127208,0.0,True,True
0.5,PROD,2.2422879115109017e-16,False,-7.548771250345867e-16,-9.791059161856769e-16,-0.20710678118651585,0.7342665466632528,0.7342665466632528,False,False
0.5,HARD,0.175787306659503,False,0.19630853776367926,0.020521231104176252,-0.0386071489899286,0.07174739668833374,0.0,True,True
0.5,WISE,0.21461134735872375,False,0.2342411646707212,0.01962981731199745,-0.005268771856231913,0.05079440948592656,0.0,True,True
