attenuation,method,lambda2_bar,margin_vs_sigma_req,margin_vs_sigma_dyn,alpha
1.0,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
1.0,HARD,0.3364609100182326,0.036460910018232595,0.08646091001823258,0.06817126544240526
1.0,WISE,0.39887612755514545,0.09887612755514547,0.14887612755514545,0.11605356149303792
0.99,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.99,HARD,0.3332937915828119,0.03329379158281193,0.08329379158281192,0.06571071608052703
0.99,WISE,0.39529980567126544,0.09529980567126545,0.14529980567126544,0.11334212327480708
0.98,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.98,HARD,0.33012538779131656,0.03012538779131657,0.08012538779131656,0.06324627751900824
0.98,WISE,0.39172040440363404,0.09172040440363405,0.14172040440363404,0.11062433812245309
0.97,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.97,HARD,0.326955673691442,0.026955673691442028,0.07695567369144202,0.06077793947221466
0.97,WISE,0.38813786510988135,0.08813786510988136,0.13813786510988135,0.10790017014255027
0.96,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.96,HARD,0.32378462359678617,0.02378462359678618,0.07378462359678617,0.05830569098822713
0.96,WISE,0.38455212755480145,0.08455212755480146,0.13455212755480145,0.10516958201763471
0.95,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.95,HARD,0.3206122110598815,0.020612211059881536,0.07061221105988152,0.05582952042491307
0.95,WISE,0.38096312985703684,0.08096312985703685,0.13096312985703684,0.10243253495814342
0.94,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.94,HARD,0.31743840884406355,0.017438408844063558,0.06743840884406355,0.05334941542498339
0.94,WISE,0.3773708084336424,0.07737080843364241,0.1273708084336424,0.09968898865247844
0.93,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.93,HARD,0.31426318889407745,0.014263188894077461,0.06426318889407745,0.050865362889953025
0.93,WISE,0.3737750979424116,0.0737750979424116,0.1237750979424116,0.09693890121509896
0.92,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.92,HARD,0.31108652230536216,0.011086522305362168,0.061086522305362156,0.048377348952951205
0.92,WISE,0.37017593122188974,0.07017593122188975,0.12017593122188974,0.09418222913256757
0.91,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.91,HARD,0.3079083792919589,0.007908379291958922,0.05790837929195891,0.04588535895033308
0.91,WISE,0.3665732392289506,0.06657323922895059,0.11657323922895058,0.09141892720744249
0.9,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.9,HARD,0.3047287291529499,0.004728729152949918,0.054728729152949906,0.043389377392010986
0.9,WISE,0.3629669509738164,0.06296695097381644,0.11296695097381643,0.08864894849990912
0.89,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.89,HARD,0.30154754023736946,0.0015475402373694713,0.05154754023736946,0.040889387930456156
0.89,WISE,0.3593569934524204,0.059356993452420403,0.10935699345242039,0.08587224426705953
0.88,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.88,HARD,0.2983647799074839,-0.0016352200925160987,0.04836477990748389,0.03838537332827707
0.88,WISE,0.35574329157596696,0.05574329157596697,0.10574329157596696,0.083088763899691
0.87,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.87,HARD,0.295180414500378,-0.00481958549962197,0.04518041450037802,0.035877315424322154
0.87,WISE,0.3521257680975662,0.052125768097566194,0.10212576809756618,0.08029845485651244
0.86,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.86,HARD,0.29199440928773057,-0.008005590712269417,0.04199440928773057,0.03336519509820224
0.86,WISE,0.3485043435358061,0.04850434353580613,0.09850434353580612,0.07750126259563572
0.85,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.85,HARD,0.28880672843370025,-0.011193271566299734,0.038806728433700255,0.030848992233165062
0.85,WISE,0.34487893609509906,0.044878936095099076,0.09487893609509906,0.07469713050320892
0.84,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.84,HARD,0.2856173349508002,-0.014382665049199772,0.03561733495080022,0.028328685677213916
0.84,WISE,0.3412494615826607,0.041249461582660685,0.09124946158266067,0.07188599981906085
0.83,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.83,HARD,0.28242619065366725,-0.017573809346332736,0.03242619065366725,0.025804253202387217
0.83,WISE,0.3376158333219565,0.037615833321956504,0.0876158333219565,0.0690678095592091
0.82,PROD,2.2422879115109017e-16,-0.29999999999999977,-0.24999999999999978,-0.20710678118654735
0.82,HARD,0.27923325611059097,-0.020766743889409023,0.029233256110590966,0.02327567146208387
0.82,WISE,0.33397796206243324,0.03397796206243325,0.08397796206243324,0.06624249643507074
