t,pose_err,wrench_resid,wrench_resid_norm,lam_geo,lam_unsafe,lam_bar,lam_hat,weyl,eps_L
0.0,0.0,0.0,0.0,0.5820936379227878,0.029999999999999992,0.5820936379227878,0.592703555160395,0.5820936379227878,0.0
0.03,0.008057510123341483,1.7980666766769277e-05,0.0002514027198389308,0.582095154223802,0.029999999999999957,0.582655074544805,0.5824068394109304,0.5749716870706874,0.0076833874741176296
0.06,0.01609291447879389,3.591225122872038e-05,0.00025140143540381923,0.5820996717145244,0.03000000000000003,0.5832159145518168,0.582110157844134,0.5678717113342674,0.015344203217549366
0.09,0.024084566655952155,5.374668980246622e-05,0.00025139930668633455,0.5821086403652103,0.02999999999999993,0.5837761556908801,0.5821090277169821,0.5608135981503997,0.02296255754048049
0.12,0.03201133150049363,7.143705170653954e-05,0.00025139634439749634,0.582123471839755,0.02999999999999997,0.5843357957153218,0.5821234872051124,0.553816716716541,0.030519078998780834
0.15,0.0398526346447052,8.893764784798792e-05,0.0002513925578836862,0.5821455362359822,0.029999999999999798,0.5848948323846848,0.5821455368894296,0.5468998789193154,0.03799495346536936
0.18,0.047588509573245126,0.00010620413430441475,0.00025138795576883153,0.5821761589639307,0.03000000000000004,0.5854532634646772,0.5821761590020315,0.5400813034849946,0.045371959979682595
0.21,0.055199642136109596,0.00012319361021211961,0.00025138254609100534,0.5822166177716691,0.030000000000000027,0.5860110867271202,0.5822166177882163,0.5333785832820249,0.05263250344509531
0.24,0.06266741242948268,0.00013986470988889557,0.00025137633637162645,0.5822681399277556,0.029999999999999853,0.5865682999498989,0.5822681399514441,0.5268086556919183,0.059759644257980665
0.27,0.06997393397404084,0.00015617768903876316,0.0002513693336656268,0.5823318995690289,0.029999999999999666,0.5871249009168982,0.5823318996048109,0.5203877759530136,0.06673712496388458
0.3,0.07710209012912425,0.00017209450490359704,0.0002513615446005414,0.5824090152218959,0.03000000000000007,0.5876808874179509,0.5824090152743753,0.514131493371861,0.07354939404608989
0.32999999999999996,0.08403556769018089,0.00018757889025545398,0.000251352975419448,0.5825005475047221,0.02999999999999971,0.588236257248779,0.5825005475791057,0.5080546302891641,0.08018162695961496
0.36,0.09075888762579194,0.00020259642112243815,0.0002513436320086286,0.5826074970182697,0.0300000000000001,0.5887910082109289,0.5826074971204416,0.5021712636812711,0.08661974452965782
