alpha,V,aggregate_residual,lambda2
-0.06425754896961132,70.6471735516845,0.0,0.5221494806860443
-0.058574328848853,70.6471735516845,0.0,0.5246370610497628
-0.05289110872809468,70.6471735516845,0.0,0.5271196305921446
-0.04720788860733636,70.6471735516845,0.0,0.5295972924770266
-0.04152466848657804,70.6471735516845,0.0,0.5320701438619054
-0.03584144836581972,70.6471735516845,0.0,0.5345382763168552
-0.030158228245061397,70.6471735516845,0.0,0.5370017762063
-0.02447500812430308,70.6471735516845,0.0,0.5394607250376802
-0.01879178800354476,70.6471735516845,0.0,0.54191519978051
-0.013108567882786436,70.6471735516845,0.0,0.5443652731588952
-0.00742534776202812,70.6471735516845,0.0,0.5468110139202158
-0.0017421276412697972,70.6471735516845,0.0,0.5492524870823542
0.0039410924794885255,70.6471735516845,0.0,0.5516897541615542
0.009624312600246848,70.6471735516845,0.0,0.5541228733827787
0.015307532721005157,70.6471735516845,0.0,0.556551899874205
0.02099075284176348,70.6471735516845,0.0,0.5589768858473406
0.026673972962521802,70.6471735516845,1.7763568394002505e-15,0.561397880764024
0.032357193083280125,70.6471735516845,0.0,0.5638149314915399
0.03804041320403845,70.6471735516845,0.0,0.5662280824468348
0.04372363332479676,70.6471735516845,0.0,0.5686373757307829
0.04940685344555508,70.6471735516845,0.0,0.5710428512533826
0.0550900735663134,70.6471735516845,0.0,0.573444546850578
0.060773293687071725,70.6471735516845,0.0,0.5758424983934363
0.06645651380783003,70.6471735516845,0.0,0.5782367398902758
0.07213973392858837,70.6471735516845,0.0,0.5806273035823133
0.07782295404934668,70.6471735516845,0.0,0.5830142200333158
0.08350617417010502,70.6471735516845,0.0,0.5853975182137633
0.08918939429086332,70.6471735516845,0.0,0.5877772255798724
0.09487261441162163,70.6471735516845,0.0,0.5901533681479314
0.10055583453237997,70.6471735516845,0.0,0.5925259705642332
0.10623905465313828,70.6471735516845,0.0,0.5948950561709794
0.11192227477389662,70.6471735516845,0.0,0.5972606470683881
0.11760549489465492,70.6471735516845,0.0,0.5996227641733274
0.12328871501541323,70.6471735516845,0.0,0.6019814272746724
0.12897193513617156,70.6471735516845,0.0,0.604336655085629
0.1346551552569299,70.6471735516845,0.0,0.6066884652932582
0.14033837537768823,70.6471735516845,0.0,0.6090368746053092
0.1460215954984465,70.6471735516845,0.0,0.6113818987946342
0.15170481561920485,70.6471735516845,0.0,0.6137235527412889
0.15738803573996318,70.6471735516845,0.0,0.6160618504724489
0.16307125586072146,70.6471735516845,0.0,0.6183968052003543
