method,n_worlds,operational_steps_per_world,min_transfer_margin,p05_transfer_margin,median_transfer_margin,n_transfer_violations,n_steps_outside_tube,n_worlds_with_tube_violation
PROD,30,6401,-1.0442264687108984e-15,-4.3001149276942374e-16,-2.3225080910717145e-17,0,0,0
HARD,30,6401,0.0346757329456826,0.03917863683012826,0.062463298374846654,0,0,0
WISE,30,6401,0.030924886104063742,0.03680415579770435,0.06516414700009021,0,0,0
SCALAR,30,6401,0.030924886104063742,0.03680415579770435,0.06516414700009021,0,0,0
RANDOM-FIBER,30,6401,-4.873764154780011e-16,-6.511778898279747e-17,2.46609466143082e-16,0,0,0
