relay_x,lambda2
2.0000,0.030000
2.1000,0.030000
2.2000,0.030000
2.3000,0.030000
2.4000,0.030000
2.5000,0.030000
2.6000,0.030000
2.7000,0.030000
2.8000,0.030000
2.9000,0.030000
3.0000,0.030000
3.1000,0.030000
3.2000,0.030000
3.3000,0.030000
3.4000,0.030000
3.5000,0.030000
3.6000,0.030000
3.7000,0.030000
3.8000,0.518966
3.9000,0.528457
4.0000,0.537825
4.1000,0.773251
4.2000,0.784191
4.3000,0.794648
4.4000,0.804579
4.5000,1.212084
4.6000,1.218281
4.7000,1.222970
4.8000,1.226118
4.9000,1.227705
5.0000,1.227720
5.1000,1.014924
5.2000,1.009729
5.3000,1.003545
5.4000,0.996405
5.5000,0.988345
5.6000,0.979405
5.7000,0.969629
5.8000,0.716579
5.9000,0.518310
6.0000,0.292188
6.1000,0.286844
6.2000,0.281501
6.3000,0.276168
6.4000,0.030000
6.5000,0.030000
6.6000,0.030000
6.7000,0.030000
6.8000,0.030000
6.9000,0.030000
7.0000,0.030000
7.1000,0.030000
7.2000,0.030000
7.3000,0.030000
7.4000,0.030000
7.5000,0.030000
7.6000,0.030000
7.7000,0.030000
7.8000,0.030000
7.9000,0.030000
8.0000,0.030000
