nu,tau_d,seed,regime,sigma_req,lambda_E,lambda_X,lambda_prod,R_free,costly_width,note
0.17,2.8,3,free,0.25,0.9687529563754625,1.0273094575117165,0.14303672557146863,0.8257162308039939,0.05855650113625399,optimal/optimal
0.25,2.8,0,free,0.25,0.9166908107818331,1.0386253816100879,0.18564789256126615,0.731042918220567,0.12193457082825476,optimal/optimal
0.25,2.8,1,free,0.25,1.0385813776268464,1.1435344368386213,0.20155121743710364,0.8370301601897427,0.10495305921177489,optimal/optimal
0.25,2.8,2,free,0.25,1.2546996701595243,1.52098679492667,0.2347044803678774,1.019995189791647,0.26628712476714567,optimal/optimal
0.25,2.8,3,free,0.25,1.0324583497938464,1.0761043858444386,0.17119299728801546,0.8612653525058309,0.04364603605059214,optimal/optimal
0.33,2.8,0,free,0.25,1.1321799176477692,1.2505521150719654,0.23858145597896943,0.8935984616687997,0.11837219742419625,optimal/optimal
0.33,2.8,1,free,0.25,2.0250440086767445,2.327709654250531,0.42148943895572927,1.6035545697210152,0.3026656455737866,optimal/optimal
0.33,2.8,2,free,0.25,0.9908567065959418,1.3229726131975144,0.23603668108511508,0.7548200255108267,0.33211590660157253,optimal/optimal
0.33,2.8,3,free,0.25,1.1394310015050177,1.2439159826953023,0.2174330878817161,0.9219979136233016,0.1044849811902846,optimal/optimal
0.42,2.8,0,free,0.25,1.3491343136262308,1.607083535958444,0.3195642771231081,1.0295700365031228,0.2579492223322133,optimal/optimal
0.42,2.8,1,free,0.25,2.562298829027605,3.5566797385888362,0.6858086339709051,1.8764901950567,0.9943809095612313,optimal/optimal
0.42,2.8,2,free,0.25,1.2197876783863717,1.5209285592038762,0.2639782231407267,0.955809455245645,0.30114088081750445,optimal/optimal
0.42,2.8,3,free,0.25,1.563052396790496,2.1432146416645446,0.3865994542475254,1.1764529425429706,0.5801622448740487,optimal/optimal
0.5,2.8,0,free,0.25,1.2029152120702766,1.5003705765900208,0.3254260138785668,0.8774891981917099,0.2974553645197442,optimal/optimal
0.5,2.8,1,free,0.25,2.562279999393227,3.106500680691506,0.6657199955838929,1.8965600038093342,0.5442206812982788,optimal/optimal
0.5,2.8,2,free,0.25,2.3929557447568373,3.4565492601863057,0.6341972090749913,1.7587585356818458,1.0635935154294685,optimal/optimal
0.5,2.8,3,free,0.25,2.155222951249502,2.9020834558017623,0.5525743294522631,1.6026486217972389,0.7468605045522603,optimal/optimal
0.67,2.8,0,free,0.25,1.8765014124927264,2.2415812442430076,0.5310147432990266,1.3454866691936997,0.36507983175028125,optimal/optimal
0.67,2.8,1,free,0.25,3.295869486810388,4.73341752481971,1.115597548421964,2.180271938388424,1.4375480380093215,optimal/optimal
0.67,2.8,2,free,0.25,2.977681518534398,5.0605598840518,1.0714305484390088,1.9062509700953894,2.082878365517402,optimal/optimal
0.67,2.8,3,free,0.25,1.7525398692380274,1.8358541076197434,0.38095084549873187,1.3715890237392956,0.08331423838171603,optimal/optimal
0.17,3.4,0,free,0.25,0.8037652160621144,0.8634067821477113,0.1418175445572357,0.6619476715048787,0.0596415660855969,optimal/optimal
0.17,3.4,1,free,0.25,0.9611841451331807,1.184034537521,0.19445552803321894,0.7667286170999618,0.22285039238781923,optimal/optimal
0.17,3.4,2,free,0.25,0.5610694439785233,0.5944983819742622,0.09479820116010954,0.4662712428184138,0.03342893799573887,optimal/optimal
0.17,3.4,3,free,0.25,0.9687529543510258,1.0270355598869383,0.14303672557146863,0.8257162287795572,0.05828260553591247,optimal/optimal
0.25,3.4,0,free,0.25,0.9166908139359405,1.0350790059666648,0.18564789256126615,0.7310429213746744,0.11838819203072426,optimal/optimal
0.25,3.4,1,free,0.25,1.0385813776192683,1.142463686531981,0.20155121743710364,0.8370301601821646,0.10388230891271277,optimal/optimal
0.25,3.4,2,free,0.25,1.254699669940797,1.5170512772017848,0.2347044803678774,1.0199951895729198,0.2623516072609877,optimal/optimal
0.25,3.4,3,free,0.25,1.0324583495977642,1.0753455644949848,0.17119299728801546,0.8612653523097487,0.04288721489722058,optimal/optimal
0.33,3.4,0,free,0.25,1.13217991746751,1.2489783910720411,0.23858145597896943,0.8935984614885406,0.1167984736045311,optimal/optimal
0.33,3.4,1,free,0.25,2.0250440089121127,2.321916997325588,0.42148943895572927,1.6035545699563833,0.29687298841347554,optimal/optimal
0.33,3.4,2,free,0.25,0.9908567065997359,1.3088458976302684,0.23603668108511508,0.7548200255146208,0.31798919103053247,optimal/optimal
0.33,3.4,3,free,0.25,1.139431001468323,1.2424418296717905,0.2174330878817161,0.921997913586607,0.10301082820346741,optimal/optimal
0.42,3.4,0,free,0.25,1.3491343136127891,1.6022929000931827,0.3195642771231081,1.0295700364896812,0.2531585864803936,optimal/optimal
0.42,3.4,1,free,0.25,2.5622988289026867,3.5240012021817906,0.6858086339709051,1.8764901949317816,0.9617023732791039,optimal/optimal
0.42,3.4,2,free,0.25,1.2197876783777633,1.5180620285159832,0.2639782231407267,0.9558094552370365,0.2982743501382199,optimal/optimal
0.42,3.4,3,free,0.25,1.5630523961260587,2.1280455416477007,0.3865994542475254,1.1764529418785332,0.5649931455216419,optimal/optimal
0.5,3.4,0,free,0.25,1.2029152124968743,1.4868673875936378,0.3254260138785668,0.8774891986183075,0.2839521750967635,optimal/optimal
0.5,3.4,1,free,0.25,2.562279999396205,3.0914774440410766,0.6657199955838929,1.8965600038123123,0.5291974446448715,optimal/optimal
0.5,3.4,2,free,0.25,2.392955744746878,3.447220444459086,0.6341972090749913,1.7587585356718867,1.054264699712208,optimal/optimal
0.5,3.4,3,free,0.25,2.1552229628912523,2.883940180515042,0.5525743294522631,1.6026486334389891,0.7287172176237897,optimal/optimal
0.67,3.4,0,free,0.25,1.8765014118859482,2.204513210865229,0.5310147432990266,1.3454866685869216,0.32801179897928057,optimal/optimal
0.67,3.4,1,free,0.25,3.295869487114385,4.605282133914092,1.115597548421964,2.180271938692421,1.3094126467997071,optimal/optimal
0.67,3.4,2,free,0.25,2.9776815186635344,4.93748551333825,1.0714305484390088,1.9062509702245256,1.9598039946747154,optimal/optimal
0.67,3.4,3,free,0.25,1.7525398692902856,1.8318733948485033,0.38095084549873187,1.3715890237915538,0.07933352555821771,optimal/optimal
0.17,4.0,0,free,0.25,0.8037652160635455,0.8621374761152216,0.1418175445572357,0.6619476715063097,0.05837226005167617,optimal/optimal
0.17,4.0,1,free,0.25,0.9611841451208719,1.1799152429184876,0.19445552803321894,0.7667286170876529,0.21873109779761568,optimal/optimal
0.17,4.0,2,free,0.25,0.5610694440642214,0.5920742961380295,0.09479820116010954,0.4662712429041119,0.031004852073808098,optimal/optimal
0.17,4.0,3,free,0.25,0.9687529549458577,1.0266043304853345,0.14303672557146863,0.825716229374389,0.057851375539476835,optimal/optimal
0.25,4.0,0,free,0.25,0.916690811963668,1.0291131424441928,0.18564789256126615,0.7310429194024018,0.11242233048052486,optimal/optimal
0.25,4.0,1,free,0.25,1.038581377608696,1.1410318721308617,0.20155121743710364,0.8370301601715924,0.10245049452216559,optimal/optimal
0.25,4.0,2,free,0.25,1.254699669852668,1.510317888553211,0.2347044803678774,1.0199951894847907,0.2556182187005429,optimal/optimal
0.25,4.0,3,free,0.25,1.0324583429233805,1.0745050385070205,0.17119299728801546,0.8612653456353649,0.04204669558364005,optimal/optimal
0.33,4.0,0,free,0.25,1.132179917153834,1.2470305900680092,0.23858145597896943,0.8935984611748646,0.11485067291417517,optimal/optimal
0.33,4.0,1,free,0.25,2.0250440088926887,2.307584169077364,0.42148943895572927,1.6035545699369593,0.2825401601846753,optimal/optimal
0.33,4.0,2,free,0.25,0.9908567065924113,1.2906682712214261,0.23603668108511508,0.7548200255072962,0.2998115646290148,optimal/optimal
0.33,4.0,3,free,0.25,1.1394310141724375,1.2404799437812417,0.2174330878817161,0.9219979262907214,0.10104892960880418,optimal/optimal
0.42,4.0,0,free,0.25,1.349134313585761,1.5934363768391253,0.3195642771231081,1.029570036462653,0.24430206325336434,optimal/optimal
0.42,4.0,1,free,0.25,2.5622988289140465,3.4793809071779878,0.6858086339709051,1.8764901949431414,0.9170820782639413,optimal/optimal
0.42,4.0,2,free,0.25,1.219787678423923,1.514402504324794,0.2639782231407267,0.9558094552831963,0.29461482590087096,optimal/optimal
0.42,4.0,3,free,0.25,1.5630523958743006,2.1077376387149527,0.3865994542475254,1.176452941626775,0.5446852428406521,optimal/optimal
0.5,4.0,0,free,0.25,1.2029152130919203,1.4703001276442602,0.3254260138785668,0.8774891992133536,0.2673849145523399,optimal/optimal
0.5,4.0,1,free,0.25,2.5622799994122034,3.072007405493833,0.6657199955838929,1.8965600038283106,0.5097274060816295,optimal/optimal
0.5,4.0,2,free,0.25,2.3929557447325966,3.4074633528689735,0.6341972090749913,1.7587585356576052,1.0145076081363769,optimal/optimal
0.5,4.0,3,free,0.25,2.1552229671269285,2.8559057896569593,0.5525743294522631,1.6026486376746654,0.7006828225300308,optimal/optimal
0.67,4.0,0,free,0.25,1.8765014109288078,2.163741808063601,0.5310147432990266,1.3454866676297812,0.287240397134793,optimal/optimal
0.67,4.0,1,free,0.25,3.2958694880572508,4.450486623065981,1.115597548421964,2.1802719396352868,1.15461713500873,optimal/optimal
0.67,4.0,2,free,0.25,2.9776815188011727,4.725075708468473,1.0714305484390088,1.906250970362164,1.7473941896673,optimal/optimal
0.67,4.0,3,free,0.25,1.7525398693673138,1.8266412781299748,0.38095084549873187,1.371589023868582,0.07410140876266103,optimal/optimal
