nu,tau_d,seed,regime,sigma_req,lambda_E,lambda_X,lambda_prod,R_free,costly_width,note
0.17,1.0,0,free,0.25,0.8037652160644865,0.864777920864098,0.1418175445572357,0.6619476715072508,0.06101270479961152,optimal/optimal
0.17,1.0,1,free,0.25,0.9611841452189644,1.189497654302922,0.19445552803321894,0.7667286171857455,0.22831350908395764,optimal/optimal
0.17,1.0,2,free,0.25,0.5610694439887248,0.5978876314764393,0.09479820116010954,0.4662712428286153,0.03681818748771448,optimal/optimal
0.17,1.0,3,free,0.25,0.9687529596840054,1.0274173343080515,0.14303672557146863,0.8257162341125368,0.058664374624046056,optimal/optimal
0.25,1.0,0,free,0.25,0.9166908145580317,1.0400066623960567,0.18564789256126615,0.7310429219967656,0.12331584783802496,optimal/optimal
0.25,1.0,1,free,0.25,1.0385813776400523,1.1441386019035793,0.20155121743710364,0.8370301602029486,0.10555722426352698,optimal/optimal
0.25,1.0,2,free,0.25,1.2546996708261227,1.5229997705674745,0.2347044803678774,1.0199951904582454,0.2683000997413518,optimal/optimal
0.25,1.0,3,free,0.25,1.0324583466706307,1.076534773588313,0.17119299728801546,0.8612653493826152,0.04407642691768232,optimal/optimal
0.33,1.0,0,free,0.25,1.132179917843902,1.2514899003109639,0.23858145597896943,0.8935984618649326,0.11930998246706181,optimal/optimal
0.33,1.0,1,free,0.25,2.025044008576364,2.331160863078563,0.42148943895572927,1.6035545696206346,0.30611685450219905,optimal/optimal
0.33,1.0,2,free,0.25,0.9908567065888146,1.330205977439954,0.23603668108511508,0.7548200255036995,0.3393492708511393,optimal/optimal
0.33,1.0,3,free,0.25,1.13943099128345,1.244639033371931,0.2174330878817161,0.9219979034017338,0.10520804208848111,optimal/optimal
0.42,1.0,0,free,0.25,1.3491343136409824,1.6084669440543746,0.3195642771231081,1.0295700365178742,0.2593326304133923,optimal/optimal
0.42,1.0,1,free,0.25,2.5622988291078856,3.5681688485332823,0.6858086339709051,1.8764901951369806,1.0058700194253967,optimal/optimal
0.42,1.0,2,free,0.25,1.2197876783507093,1.5224779615855595,0.2639782231407267,0.9558094552099826,0.30269028323485014,optimal/optimal
0.42,1.0,3,free,0.25,1.5630523893998007,2.151145530614353,0.3865994542475254,1.1764529351522754,0.5880931412145523,optimal/optimal
0.5,1.0,0,free,0.25,1.2029152114319352,1.5074862202588826,0.3254260138785668,0.8774891975533685,0.3045710088269473,optimal/optimal
0.5,1.0,1,free,0.25,2.5622799993607264,3.1148946984624906,0.6657199955838929,1.8965600037768335,0.5526146991017642,optimal/optimal
0.5,1.0,2,free,0.25,2.392955744776416,3.4598185135695525,0.6341972090749913,1.7587585357014244,1.0668627687931367,optimal/optimal
0.5,1.0,3,free,0.25,2.1552229644304077,2.9103954866182784,0.5525743294522631,1.6026486349781446,0.7551725221878707,optimal/optimal
0.67,1.0,0,free,0.25,1.8765014132675635,2.2609154460768512,0.5310147432990266,1.3454866699685368,0.38441403280928776,optimal/optimal
0.67,1.0,1,free,0.25,3.295869494024971,4.800577986022491,1.115597548421964,2.180271945603007,1.50470849199752,optimal/optimal
0.67,1.0,2,free,0.25,2.977681518294226,5.105733983477729,1.0714305484390088,1.906250969855217,2.1280524651835035,optimal/optimal
0.67,1.0,3,free,0.25,1.75253986921057,1.8379847772806641,0.38095084549873187,1.3715890237118382,0.08544490807009408,optimal/optimal
0.17,1.6,0,free,0.25,0.8037652160666408,0.8647779480419827,0.1418175445572357,0.661947671509405,0.06101273197534196,optimal/optimal
0.17,1.6,1,free,0.25,0.9611841452043837,1.1894976557576913,0.19445552803321894,0.7667286171711647,0.22831351055330762,optimal/optimal
0.17,1.6,2,free,0.25,0.5610694439741297,0.5978876507157878,0.09479820116010954,0.4662712428140202,0.03681820674165803,optimal/optimal
0.17,1.6,3,free,0.25,0.9687529537110613,1.0274173253409045,0.14303672557146863,0.8257162281395927,0.05866437162984317,optimal/optimal
0.25,1.6,0,free,0.25,0.9166908131479998,1.0400066518090685,0.18564789256126615,0.7310429205867337,0.12331583866106866,optimal/optimal
0.25,1.6,1,free,0.25,1.0385813776376955,1.1441386020598354,0.20155121743710364,0.8370301602005918,0.10555722442213988,optimal/optimal
0.25,1.6,2,free,0.25,1.2546996706610212,1.5229997678603742,0.2347044803678774,1.0199951902931437,0.268300097199353,optimal/optimal
0.25,1.6,3,free,0.25,1.0324583512522831,1.0765347844295168,0.17119299728801546,0.8612653539642676,0.04407643317723364,optimal/optimal
0.33,1.6,0,free,0.25,1.1321799178114031,1.2514898953178224,0.23858145597896943,0.8935984618324337,0.11930997750641925,optimal/optimal
0.33,1.6,1,free,0.25,2.0250440086528743,2.331160886575373,0.42148943895572927,1.603554569697145,0.30611687792249853,optimal/optimal
0.33,1.6,2,free,0.25,0.9908567065929604,1.3302059462422084,0.23603668108511508,0.7548200255078453,0.339349239649248,optimal/optimal
0.33,1.6,3,free,0.25,1.1394310016034461,1.244639019005971,0.2174330878817161,0.92199791372173,0.10520801740252494,optimal/optimal
0.42,1.6,0,free,0.25,1.3491343136402623,1.608466928274307,0.3195642771231081,1.0295700365171543,0.25933261463404467,optimal/optimal
0.42,1.6,1,free,0.25,2.5622988290735598,3.568168806467283,0.6858086339709051,1.8764901951026547,1.0058699773937234,optimal/optimal
0.42,1.6,2,free,0.25,1.2197876783756663,1.5224779513676554,0.2639782231407267,0.9558094552349395,0.30269027299198914,optimal/optimal
0.42,1.6,3,free,0.25,1.5630523994142473,2.1511455452082666,0.3865994542475254,1.176452945166722,0.5880931457940193,optimal/optimal
0.5,1.6,0,free,0.25,1.2029152108634948,1.507486234392722,0.3254260138785668,0.8774891969849281,0.30457102352922716,optimal/optimal
0.5,1.6,1,free,0.25,2.562279999372865,3.114894700995498,0.6657199955838929,1.8965600037889723,0.552614701622633,optimal/optimal
0.5,1.6,2,free,0.25,2.392955744765023,3.4598185041151397,0.6341972090749913,1.7587585356900317,1.0668627593501165,optimal/optimal
0.5,1.6,3,free,0.25,2.155222964772417,2.910395513996755,0.5525743294522631,1.6026486353201537,0.755172549224338,optimal/optimal
0.67,1.6,0,free,0.25,1.876501413122065,2.260915431312944,0.5310147432990266,1.3454866698230383,0.38441401819087884,optimal/optimal
0.67,1.6,1,free,0.25,3.295869504502781,4.800577912285883,1.115597548421964,2.180271956080817,1.5047084077831019,optimal/optimal
0.67,1.6,2,free,0.25,2.977681518348624,5.105733985914721,1.0714305484390088,1.9062509699096153,2.1280524675660972,optimal/optimal
0.67,1.6,3,free,0.25,1.752539869214404,1.8379847276623116,0.38095084549873187,1.3715890237156723,0.0854448584479075,optimal/optimal
0.17,2.2,0,free,0.25,0.8037652160636098,0.8647779147789884,0.1418175445572357,0.6619476715063741,0.06101269871537851,optimal/optimal
0.17,2.2,1,free,0.25,0.9611841451844804,1.18949765828944,0.19445552803321894,0.7667286171512614,0.22831351310495973,optimal/optimal
0.17,2.2,2,free,0.25,0.5610694439673841,0.5978876357808286,0.09479820116010954,0.4662712428072746,0.03681819181344448,optimal/optimal
0.17,2.2,3,free,0.25,0.9687529591611759,1.0274173538807676,0.14303672557146863,0.8257162335897072,0.05866439471959173,optimal/optimal
0.25,2.2,0,free,0.25,0.9166908129344623,1.0400066546309725,0.18564789256126615,0.7310429203731962,0.12331584169651022,optimal/optimal
0.25,2.2,1,free,0.25,1.0385813776331143,1.144138603328032,0.20155121743710364,0.8370301601960106,0.10555722569491777,optimal/optimal
0.25,2.2,2,free,0.25,1.2546996704282498,1.5229997658938135,0.2347044803678774,1.0199951900603725,0.26830009546556366,optimal/optimal
0.25,2.2,3,free,0.25,1.032458351646936,1.076534785072238,0.17119299728801546,0.8612653543589204,0.0440764334253021,optimal/optimal
0.33,2.2,0,free,0.25,1.1321799177516614,1.251489901233318,0.23858145597896943,0.893598461772692,0.11930998348165667,optimal/optimal
0.33,2.2,1,free,0.25,2.025044008741704,2.331160894101957,0.42148943895572927,1.6035545697859748,0.30611688536025294,optimal/optimal
0.33,2.2,2,free,0.25,0.9908567065934364,1.33020597334373,0.23603668108511508,0.7548200255083213,0.33934926675029353,optimal/optimal
0.33,2.2,3,free,0.25,1.1394310015596212,1.244639011596994,0.2174330878817161,0.9219979136779051,0.1052080100373729,optimal/optimal
0.42,2.2,0,free,0.25,1.3491343136336842,1.6084669523066601,0.3195642771231081,1.029570036510576,0.25933263867297596,optimal/optimal
0.42,2.2,1,free,0.25,2.562298829041139,3.5681687983976635,0.6858086339709051,1.876490195070234,1.0058699693565245,optimal/optimal
0.42,2.2,2,free,0.25,1.2197876783796633,1.5224779451056012,0.2639782231407267,0.9558094552389366,0.3026902667259379,optimal/optimal
0.42,2.2,3,free,0.25,1.563052397512747,2.1511455328649443,0.3865994542475254,1.1764529432652218,0.5880931353521972,optimal/optimal
0.5,2.2,0,free,0.25,1.2029152117564852,1.5074862500825976,0.3254260138785668,0.8774891978779185,0.30457103832611243,optimal/optimal
0.5,2.2,1,free,0.25,2.5622799993803027,3.1148947062887897,0.6657199955838929,1.8965600037964099,0.552614706908487,optimal/optimal
0.5,2.2,2,free,0.25,2.392955744759229,3.459818533051581,0.6341972090749913,1.7587585356842377,1.0668627882923518,optimal/optimal
0.5,2.2,3,free,0.25,2.1552229651330506,2.910395518092056,0.5525743294522631,1.6026486356807874,0.7551725529590056,optimal/optimal
0.67,2.2,0,free,0.25,1.8765014128792832,2.2609154893996246,0.5310147432990266,1.3454866695802565,0.38441407652034143,optimal/optimal
0.67,2.2,1,free,0.25,3.2958694888794473,4.8005779854213735,1.115597548421964,2.1802719404574833,1.5047084965419262,optimal/optimal
0.67,2.2,2,free,0.25,2.977681518428048,5.10573398761467,1.0714305484390088,1.9062509699890393,2.128052469186622,optimal/optimal
0.67,2.2,3,free,0.25,1.7525398692202345,1.837984775284456,0.38095084549873187,1.3715890237215027,0.0854449060642215,optimal/optimal
0.17,2.8,0,free,0.25,0.8037652160629914,0.8644335707921988,0.1418175445572357,0.6619476715057557,0.0606683547292074,optimal/optimal
0.17,2.8,1,free,0.25,0.9611841451601012,1.1876155505657118,0.19445552803321894,0.7667286171268822,0.22643140540561058,optimal/optimal
0.17,2.8,2,free,0.25,0.5610694439554582,0.5966160195262248,0.09479820116010954,0.4662712427953487,0.03554657557076657,optimal/optimal
