method,seed,V_over_Vstar,aggregate_error_inf,value_error,gamma_fiber_integer,lambda2_bar,lambda2_nominal,margin_vs_sigma_req,wrench_certified,min_lambda2_geo,min_transfer_margin,min_loewner_eig,max_tube_violation,alpha_certified,alpha_at_lambda2_bar,alpha_fitted,info_norm_ratio,mission_info_norm_max,pose_rmse1,pose_rmse2,peak_wrench_residual,peak_wrench_residual_quiet,mission_completed,wrench_rmse1,wrench_rmse2,max_sync_err,terminal_sync_err,terminal_pose_err,settling_time,control_effort,t_complete1,t_complete2,success,drag_multiplier,t_dist
PROD,1,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.624973369525354e-16,-8.867261281036255e-16,-3.929351960994809e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651582,528451.6728891217,44760.03045811466,0.008588834591796787,0.02027127976114871,4.503175122916511,0.15259427981464102,False,2.517059881679524e-08,0.41242671864059105,0.7715089347180486,0.7715089347180486,0.030976558514760964,nan,117.64706263611227,nan,48.15,False,2.7101028121321407,23.946849096013658
HARD,1,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37562575876391324,0.03916484874568066,0.032437729222131235,0.0,0.039672219213314874,0.06817126544240526,0.11104249930948755,0.00040160128494608714,0.46617003603546425,0.011482513593430712,0.009963547242378763,0.970963707163061,0.15259418806759156,True,1.3627537582850954e-08,0.06609508039488353,0.05964727527940783,0.0,0.02078563102421417,3.1531509039863437,117.74553434661668,59.800000000000004,59.35,True,2.7101028121321407,23.946849096013658
WISE,1,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4357134173860635,0.03683728983091805,0.03619943022015664,0.0,0.039672219213314874,0.11605356149303792,0.15886890696708608,1.2853765139800201e-05,0.40957869315079326,0.011429268719400648,0.009868599129421502,0.9760838669523252,0.15259417301781855,True,1.3609689774193703e-08,0.06586375106474637,0.05933974634342176,0.0,0.020844431368584805,3.253150903986345,117.08779523048672,59.95,59.7,True,2.7101028121321407,23.946849096013658
SCALAR,1,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4357134173860635,0.03683728983091805,0.03619943022015664,0.0,0.039672219213314874,0.11605356149303792,0.15886890696708608,1.2853765139800201e-05,0.40957869315079326,0.011429268719400648,0.009868599129421502,0.9760838669523252,0.15259417301781855,True,1.3609689774193703e-08,0.06586375106474637,0.05933974634342176,0.0,0.020844431368584805,3.253150903986345,117.08779523048672,59.95,59.7,True,2.7101028121321407,23.946849096013658
RANDOM-FIBER,1,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-5.224402979502933e-16,-4.428960665132356e-16,-3.3316920380957166e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376269.881119192,22987.91827575262,0.008590838818995226,0.019963082603888127,4.04913377889992,0.15259427981464102,False,6.644206706589402e-09,0.3600548972297375,0.6682759158275193,0.6682759158275193,0.030976554230963828,nan,117.44860470475186,nan,48.300000000000004,False,2.7101028121321407,23.946849096013658
PROD,2,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.257850197638999e-16,-8.500138109149901e-16,-3.9515103428949816e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651582,528451.6728891216,43262.17478476222,0.006600340908242885,0.02049979832360934,3.9564488852831916,0.07322433770281014,False,1.8164881814437656e-08,0.3424361010377772,0.7561809196115423,0.7561809196115423,0.03264646030952466,nan,136.46740824540686,nan,48.35,False,2.7348429980841003,21.91010679459867
HARD,2,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37377541175362794,0.037314501735395356,0.030781688852465586,0.0,0.039672219213314874,0.06817126544240526,0.11084678319253673,0.0004024828199361389,0.5628614053357022,0.010577839351585835,0.010003667513467372,1.3145818257937951,6.908113100578443e-08,True,1.5414954961449375e-08,0.0875382333565136,0.07309695738784383,0.0,0.02227469927322427,4.539893205401334,137.825595724169,59.75,59.300000000000004,True,2.7348429980841003,21.91010679459867
WISE,2,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4328393964891479,0.03396326893400242,0.03321571422812489,0.0,0.039672219213314874,0.11605356149303792,0.1588409774187669,1.2845241903000997e-05,0.4955482223627918,0.010485686065005224,0.009906395355096548,1.3393301111514182,6.67997549495529e-08,True,1.538740246644733e-08,0.08861324522863538,0.07253665792608893,0.0,0.022376790686725982,4.73989320540133,136.6999358162926,59.95,59.7,True,2.7348429980841003,21.91010679459867
SCALAR,2,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4328393964891479,0.03396326893400242,0.03321571422812489,0.0,0.039672219213314874,0.11605356149303792,0.1588409774187669,1.2845241903000997e-05,0.4955482223627918,0.010485686065005224,0.009906395355096548,1.3393301111514182,6.67997549495529e-08,True,1.538740246644733e-08,0.08861324522863538,0.07253665792608893,0.0,0.022376790686725982,4.73989320540133,136.6999358162926,59.95,59.7,True,2.7348429980841003,21.91010679459867
RANDOM-FIBER,2,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-5.051636924749112e-16,-4.2561946103785356e-16,-3.2145458494244953e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651582,376284.9600132285,21401.64478650756,0.00660525031167005,0.020236701874204392,3.4905129693276122,0.07650538995536976,False,7.64331767275809e-09,0.29265843517602746,0.653117283764716,0.653117283764716,0.03264644730729701,nan,137.33131219857242,nan,48.5,False,2.7348429980841003,21.91010679459867
PROD,3,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.708114542013627e-16,-8.950402453524528e-16,-4.374484715435889e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891225,44957.067547114355,0.0037791616975211095,0.01931104526922848,3.7743713846494593,2.3189933821927016e-07,False,2.4296370560059502e-08,0.3275536802019276,0.7491607435225188,0.7491607435225188,0.030425373935550667,nan,114.13654650217116,nan,47.25,False,2.824104455972437,22.677247181598265
