method,seed,V_over_Vstar,aggregate_error_inf,value_error,gamma_fiber_integer,lambda2_bar,lambda2_nominal,margin_vs_sigma_req,wrench_certified,min_lambda2_geo,min_transfer_margin,min_loewner_eig,max_tube_violation,alpha_certified,alpha_at_lambda2_bar,alpha_fitted,info_norm_ratio,mission_info_norm_max,pose_rmse1,pose_rmse2,peak_wrench_residual,peak_wrench_residual_quiet,mission_completed,wrench_rmse1,wrench_rmse2,max_sync_err,terminal_sync_err,terminal_pose_err,settling_time,control_effort,t_complete1,t_complete2,success,drag_multiplier,t_dist
HARD,3,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.3756338784373917,0.039172968419159127,0.03249316067507155,0.0,0.039672219213314874,0.06817126544240526,0.10959514505496086,0.0004037932378250812,0.4578571859346254,0.009661105203685566,0.008911534324051456,0.96208439447415,9.016238550574527e-08,True,1.604722372064246e-08,0.06430817098320381,0.059259783791361154,0.0,0.021981073434742975,3.0727528184017388,123.2156886658911,58.7,58.2,True,2.824104455972437,22.677247181598265
WISE,3,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4354953129109403,0.03661918535579484,0.03595005962000398,0.0,0.039672219213314874,0.11605356149303792,0.15718294362961233,1.2997599590665527e-05,0.4036191045796534,0.009581880161611295,0.008817089788569875,0.9733241057569227,9.016212859393202e-08,True,1.6024820973649502e-08,0.06441236284217249,0.05892919305889288,0.0,0.02195553634934689,3.17275281840174,122.58750390633034,58.85,58.550000000000004,True,2.824104455972437,22.677247181598265
SCALAR,3,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4354953129109403,0.03661918535579484,0.03595005962000398,0.0,0.039672219213314874,0.11605356149303792,0.15718294362961233,1.2997599590665527e-05,0.4036191045796534,0.009581880161611295,0.008817089788569875,0.9733241057569227,9.016212859393202e-08,True,1.6024820973649502e-08,0.06441236284217249,0.05892919305889288,0.0,0.02195553634934689,3.17275281840174,122.58750390633034,58.85,58.550000000000004,True,2.824104455972437,22.677247181598265
RANDOM-FIBER,3,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.204005728133228e-16,-3.4085634137626517e-16,-4.20766166615668e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651574,376281.6412467582,23489.73651871392,0.003784431994219355,0.01912416150185255,3.446920058085139,9.016397038629795e-08,False,7.757739618961232e-09,0.2920424056445462,0.6494255171073022,0.6494255171073022,0.030425374171736803,nan,115.00077956856963,nan,47.300000000000004,False,2.824104455972437,22.677247181598265
PROD,4,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.483604951452761e-16,-8.725892862963663e-16,-4.508112633194727e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891222,78423.68083820776,0.0016556681026752911,0.02254518492598924,6.00665397065651,0.0754540596113216,False,9.795960718068155e-09,0.5691931538507009,0.8022788577743839,0.8022788577743839,0.032126611541739014,nan,130.42300768867423,nan,47.75,False,2.856864850366321,22.586980253239567
HARD,4,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.3755243207536096,0.039063410735377,0.03231416089700523,0.0,0.039672219213314874,0.06817126544240526,0.11069202210253652,0.00039632922306209056,0.5801499613692641,0.00784061642217848,0.011939309248924695,1.8253196141416637,8.205932096370163e-07,True,1.2993372782618901e-08,0.12168456372791624,0.07246718850109946,0.0,0.021795247754535122,4.463019746760438,126.43265825458573,59.65,59.1,True,2.856864850366321,22.586980253239567
WISE,4,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4356827885375968,0.036806660982451334,0.03618162591499301,0.0,0.039672219213314874,0.11605356149303792,0.15880472126032816,1.2459000428702821e-05,0.5153057933014167,0.007700334627184712,0.011808051286450528,1.7440105776158314,8.205932096370163e-07,True,1.2956528570736736e-08,0.11564122530064569,0.07364734559502001,0.0,0.02188809946893513,4.813019746760432,125.34047709687304,59.95,59.65,True,2.856864850366321,22.586980253239567
SCALAR,4,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4356827885375968,0.036806660982451334,0.03618162591499301,0.0,0.039672219213314874,0.11605356149303792,0.15880472126032816,1.2459000428702821e-05,0.5153057933014167,0.007700334627184712,0.011808051286450528,1.7440105776158314,8.205932096370163e-07,True,1.2956528570736736e-08,0.11564122530064569,0.07364734559502001,0.0,0.02188809946893513,4.813019746760432,125.34047709687304,59.95,59.65,True,2.856864850366321,22.586980253239567
RANDOM-FIBER,4,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.986851530450992e-16,-4.191409216080416e-16,-3.334050646464561e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651582,376283.07518598926,60252.43492735827,0.0016626900604188803,0.022510834334610163,5.835434798533817,0.10542432179465674,False,4.621837424748729e-09,0.5283178706971192,0.7373585100669271,0.7373585100669271,0.0321266171804953,nan,131.4877154525579,nan,47.300000000000004,False,2.856864850366321,22.586980253239567
PROD,5,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-7.038332487505332e-16,-9.280620399016235e-16,-4.381938605371727e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891217,62792.85683353733,0.0056326640531031945,0.021981677453964416,5.0648250923799,0.053842698381332876,False,1.0186121564636507e-08,0.4741036994721279,0.7967024862870927,0.7967024862870927,0.03190404168217444,nan,124.83469061358144,nan,47.65,False,2.567096697882916,23.33274732755044
HARD,5,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37553531436582366,0.039074404347591074,0.03233034659022829,0.0,0.039672219213314874,0.06817126544240526,0.11074746642482666,0.0003999196379906972,0.46598453050316463,0.009557166237783153,0.011780774020286888,1.1357166552872688,6.218734240252449e-08,True,1.3279216663421811e-08,0.07381057766598041,0.059115417067839404,0.0,0.021627538410991607,3.117252672449567,122.81686876860661,59.6,59.15,True,2.567096697882916,23.33274732755044
WISE,5,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4356736322239962,0.03679750466885073,0.036168628018553514,0.0,0.039672219213314874,0.11605356149303792,0.1586418964728202,1.2722505955039378e-05,0.41359465029116427,0.009473515716350208,0.01167932668288214,1.1020229663866352,6.06445119430625e-08,True,1.3252045544891197e-08,0.07167694860187346,0.0596789307795369,0.0,0.02169254909431307,3.3172526724495626,122.0274515559837,59.800000000000004,59.550000000000004,True,2.567096697882916,23.33274732755044
SCALAR,5,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4356736322239962,0.03679750466885073,0.036168628018553514,0.0,0.039672219213314874,0.11605356149303792,0.1586418964728202,1.2722505955039378e-05,0.41359465029116427,0.009473515716350208,0.01167932668288214,1.1020229663866352,6.06445119430625e-08,True,1.3252045544891197e-08,0.07167694860187346,0.0596789307795369,0.0,0.02169254909431307,3.3172526724495626,122.0274515559837,59.800000000000004,59.550000000000004,True,2.567096697882916,23.33274732755044
RANDOM-FIBER,5,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.440892098500626e-16,-3.64544978413005e-16,-3.5400027557727577e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376267.4013378437,42190.10361582988,0.005634321517763458,0.02199917373819088,5.087922437282621,0.07305377389317991,False,4.99131407006222e-09,0.4577070583316856,0.7189927149600652,0.7189927149600652,0.03190404527594585,nan,125.8875273139581,nan,47.4,False,2.567096697882916,23.33274732755044
PROD,6,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.307588510413145e-16,-8.549876421924046e-16,-4.2739249639378585e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891215,59147.012544246216,0.006782837721932928,0.02047550964282246,3.772594190451633,0.20333938511988023,False,1.4348610865115704e-08,0.3318848960096179,0.8010287983436843,0.8010287983436843,0.030004958500610506,nan,107.64659055623514,nan,46.7,False,2.407896464266249,23.544092874126214
HARD,6,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37564791004433573,0.03918700002610315,0.03252315927652627,0.0,0.039672219213314874,0.06817126544240526,0.10994693232315367,0.000413998328293343,0.22905437861837197,0.011320161197827394,0.0111300757631341,0.2821598978818759,0.20333938511988023,True,1.6992287863452648e-08,0.030803851904825878,0.029658717067077567,0.0,0.022605102183201303,0.005907125873790164,122.85865751776741,58.800000000000004,58.550000000000004,True,2.407896464266249,23.544092874126214
WISE,6,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.43544028471050167,0.036564157155356214,0.03588344102366567,0.0,0.039672219213314874,0.11605356149303792,0.15736525534733786,1.3360703394043504e-05,0.20594624226577096,0.01127147538329855,0.01107684618096536,0.26191807440435705,0.20333938511988023,True,1.6971345786796065e-08,0.030220370422314152,0.030218984507964786,0.0,0.02259477359064687,0.005907125873790164,122.54045596271439,58.95,58.800000000000004,True,2.407896464266249,23.544092874126214
SCALAR,6,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.43544028471050167,0.036564157155356214,0.03588344102366567,0.0,0.039672219213314874,0.11605356149303792,0.15736525534733786,1.3360703394043504e-05,0.20594624226577096,0.01127147538329855,0.01107684618096536,0.26191807440435705,0.20333938511988023,True,1.6971345786796065e-08,0.030220370422314152,0.030218984507964786,0.0,0.02259477359064687,0.005907125873790164,122.54045596271439,58.95,58.800000000000004,True,2.407896464266249,23.544092874126214
RANDOM-FIBER,6,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.850750295049315e-16,-4.0553079806787386e-16,-3.123669561066219e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376264.700234295,37737.723602692335,0.006784037631295528,0.020636676622484407,4.079104540363546,0.20333938511988023,False,6.268178444115679e-09,0.35668691848159967,0.7191679331061461,0.7191679331061461,0.030004956706554193,nan,108.99805119534527,nan,46.45,False,2.407896464266249,23.544092874126214
PROD,7,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-8.141632583496714e-16,-1.0383920495007616e-15,-3.979157498293362e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651582,528451.672889121,51737.074394530755,0.00887124959278078,0.021215538993393266,3.663358741741278,0.06184144074851593,False,1.2899112928657277e-08,0.3135405805795086,0.7861998927662114,0.7861998927662114,0.032068606226806906,nan,131.8944863830107,nan,48.050000000000004,False,2.7343556182916204,21.401153531590072
HARD,7,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.3711366429639152,0.0346757329456826,0.028096970292522127,0.0,0.039672219213314874,0.06817126544240526,0.11138157578139762,0.00040872993369100904,0.499578160893741,0.01179053492402313,0.01157320155669868,1.0428467023982582,6.502208140228334e-08,True,1.4370255209864944e-08,0.07068763661471016,0.06475164943980505,0.0,0.021740370739584635,3.798846468409934,130.10959598543764,60.1,59.75,True,2.7343556182916204,21.401153531590072
WISE,7,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4298010136592092,0.030924886104063742,0.030128450820089147,0.0,0.039672219213314874,0.11605356149303792,0.15943739000063573,1.301050984365277e-05,0.44085975587508347,0.011715813809267606,0.011504130663321689,1.0448635806438675,6.30790668071019e-08,True,1.4343525949971597e-08,0.07038185434385694,0.06458263729767316,0.0,0.02184275873099186,3.9488464684099327,129.19489081984852,60.300000000000004,60.1,True,2.7343556182916204,21.401153531590072
SCALAR,7,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4298010136592092,0.030924886104063742,0.030128450820089147,0.0,0.039672219213314874,0.11605356149303792,0.15943739000063573,1.301050984365277e-05,0.44085975587508347,0.011715813809267606,0.011504130663321689,1.0448635806438675,6.30790668071019e-08,True,1.4343525949971597e-08,0.07038185434385694,0.06458263729767316,0.0,0.02184275873099186,3.9488464684099327,129.19489081984852,60.300000000000004,60.1,True,2.7343556182916204,21.401153531590072
RANDOM-FIBER,7,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.41411598230994e-16,-3.6186736679393634e-16,-4.0647040546915456e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376288.6665160214,30111.05083266216,0.00887408640553699,0.021153635512003444,3.557013696690389,0.06258774294867568,False,6.476612597309404e-09,0.30168106339942213,0.6987453279243455,0.6987453279243455,0.03206860472357875,nan,132.1898655534846,nan,48.1,False,2.7343556182916204,21.401153531590072
PROD,8,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.373628724745205e-16,-8.615916636256107e-16,-3.9605905360895477e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891224,53087.63228528631,0.0017332158172734843,0.01996264112775117,3.379434137537419,0.05865671365443033,False,1.5379406615715067e-08,0.2843473314126572,0.7529843429623769,0.7529843429623769,0.03192238535268498,nan,129.02605541563858,nan,46.9,False,2.8370413741392597,20.210906998467262
HARD,8,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37550993671738764,0.039049026699155054,0.03233269716300707,0.0,0.039672219213314874,0.06817126544240526,0.10937942155796161,0.0004039961593364557,0.5331838466140397,0.00886549941954366,0.009191724325864379,1.240596170273326,6.495888525826488e-08,True,1.4957498554219295e-08,0.08225311084921637,0.06879742959996771,0.0,0.021611022324254676,4.189093001532733,130.16306285836168,58.550000000000004,58.15,True,2.8370413741392597,20.210906998467262
WISE,8,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4355115448139553,0.036635417258809866,0.03599029469648953,0.0,0.039672219213314874,0.11605356149303792,0.1571490048699259,1.2823027542574825e-05,0.47068850731126627,0.008748638638200386,0.009097947220969392,1.2375377346431091,6.293483608349848e-08,True,1.492630664110311e-08,0.08172493627459736,0.06870568454616949,0.0,0.021696479307824205,4.389093001532736,129.18691150724334,58.800000000000004,58.550000000000004,True,2.8370413741392597,20.210906998467262
SCALAR,8,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.4355115448139553,0.036635417258809866,0.03599029469648953,0.0,0.039672219213314874,0.11605356149303792,0.1571490048699259,1.2823027542574825e-05,0.47068850731126627,0.008748638638200386,0.009097947220969392,1.2375377346431091,6.293483608349848e-08,True,1.492630664110311e-08,0.08172493627459736,0.06870568454616949,0.0,0.021696479307824205,4.389093001532736,129.18691150724334,58.800000000000004,58.550000000000004,True,2.8370413741392597,20.210906998467262
RANDOM-FIBER,8,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.80971629787577e-16,-4.014273983505194e-16,-3.557214406894321e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.2071067811865157,376276.19021746155,32508.982473109616,0.001745016453255941,0.019961866594316646,3.3698274847953518,0.05842685633173255,False,6.693235505145115e-09,0.28266902309120506,0.6708008854451888,0.6708008854451888,0.03192238521523882,nan,129.71257298151997,nan,46.9,False,2.8370413741392597,20.210906998467262
PROD,9,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-6.179053540077796e-16,-8.421341451588698e-16,-5.0133508455729725e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891217,51134.5227718504,0.006655324076221399,0.019949996814145114,4.544619511419608,0.060932952504593386,False,1.5875589194116573e-08,0.41027763780594556,0.782902494496952,0.782902494496952,0.029519969241926833,nan,107.59757511264871,nan,47.4,False,2.813878514839844,23.924025859405898
HARD,9,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.37517655609347067,0.038715646075238086,0.0323941337514603,0.0,0.039672219213314874,0.06817126544240526,0.11042866627979586,0.0004072679541400819,0.38100306420834446,0.010982547580116039,0.010165135398712086,0.7547556904745154,0.06093300979446007,True,1.6624996681179357e-08,0.051298478727962456,0.04929111770508143,0.0,0.0222785733022078,0.005974140594098287,121.04177336804324,59.300000000000004,58.85,True,2.813878514839844,23.924025859405898
WISE,9,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.433292508328759,0.03441638077361353,0.03335824781198583,0.0,0.039672219213314874,0.11605356149303792,0.15804758806553432,1.318750131886062e-05,0.3377074476608305,0.010919754264401496,0.010089300658840354,0.7511880543127,0.06093301910652424,True,1.6602902191958992e-08,0.050795853722368965,0.049331458218262236,0.0,0.022261120168197934,0.005974140594098287,120.5786907239557,59.45,59.2,True,2.813878514839844,23.924025859405898
SCALAR,9,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.433292508328759,0.03441638077361353,0.03335824781198583,0.0,0.039672219213314874,0.11605356149303792,0.15804758806553432,1.318750131886062e-05,0.3377074476608305,0.010919754264401496,0.010089300658840354,0.7511880543127,0.06093301910652424,True,1.6602902191958992e-08,0.050795853722368965,0.049331458218262236,0.0,0.022261120168197934,0.005974140594098287,120.5786907239557,59.45,59.2,True,2.813878514839844,23.924025859405898
RANDOM-FIBER,9,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-5.669206469150588e-16,-4.873764154780011e-16,-3.600641560830489e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376294.9595262093,29430.400492164466,0.006658966587086999,0.01990959766637945,4.477919886035428,0.060932952504593386,False,7.2797154605571225e-09,0.40093678248137105,0.6901241137610961,0.6901241137610961,0.029519969177044327,nan,108.43973934842539,nan,47.4,False,2.813878514839844,23.924025859405898
PROD,10,1.0,0.0,0.0,0.3988761275551454,2.2422879115109017e-16,4.645476757589288e-16,-0.29999999999999977,True,-7.269875911787003e-16,-9.512163823297906e-16,-4.491104211613861e-16,0.0,-0.20710678118654735,-0.20710678118654735,-0.20710678118651585,528451.6728891217,67865.10693154878,0.006791506807152191,0.020915901579251658,2.295909033009143,0.31915289451044065,False,1.1951355369176362e-08,0.19159923419190358,0.8076022653835004,0.8076022653835004,0.0306210321779442,nan,117.09266762009224,nan,46.35,False,2.520637626897721,20.167474789607166
HARD,10,1.0,0.0,0.0,0.06241521753691304,0.3364609100182326,0.25563860722427023,0.036460910018232595,True,0.3756475736638429,0.0391866636456103,0.032473888575929796,0.0,0.039672219213314874,0.06817126544240526,0.11015199224313878,0.0004148912828766677,0.2884938148695359,0.010582382522602093,0.011850320112560259,0.31915289451044065,0.31915289451044065,True,1.4159199966541673e-08,0.04018388314332951,0.03639310969228665,0.0,0.02047246478128168,0.0025252103928323777,117.56536916355223,59.0,58.800000000000004,True,2.520637626897721,20.167474789607166
WISE,10,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.43431010017740734,0.03543397262226189,0.03375886603451763,0.0,0.039672219213314874,0.11605356149303792,0.15776319118092302,1.334607394152153e-05,0.25463051307224077,0.01052612130355917,0.011810749666754118,0.31915289451044065,0.31915289451044065,True,1.4139810374359772e-08,0.039065664843018454,0.036987557301954244,0.0,0.02052219246815127,0.0025252103928323777,117.16226243150157,59.15,59.050000000000004,True,2.520637626897721,20.167474789607166
SCALAR,10,1.0,0.0,0.0,1.6653345369377348e-16,0.39887612755514545,0.23112548393078608,0.09887612755514547,True,0.43431010017740734,0.03543397262226189,0.03375886603451763,0.0,0.039672219213314874,0.11605356149303792,0.15776319118092302,1.334607394152153e-05,0.25463051307224077,0.01052612130355917,0.011810749666754118,0.31915289451044065,0.31915289451044065,True,1.4139810374359772e-08,0.039065664843018454,0.036987557301954244,0.0,0.02052219246815127,0.0025252103928323777,117.16226243150157,59.15,59.050000000000004,True,2.520637626897721,20.167474789607166
RANDOM-FIBER,10,1.0,0.0,0.0,0.3988761275551457,-7.954423143705765e-17,4.645476757589288e-16,-0.30000000000000004,True,-4.2659558638635473e-16,-3.470513549492971e-16,-3.180099409172471e-16,0.0,-0.20710678118654763,-0.20710678118654763,-0.20710678118651576,376295.5251538362,48227.77249552264,0.006793784504547828,0.021042402575715387,2.634566896433565,0.31915289451044065,False,5.403723619816372e-09,0.22138984430762176,0.7395024087901677,0.7395024087901677,0.030621031157578412,nan,117.01755401053185,nan,46.25,False,2.520637626897721,20.167474789607166
