seed,tau_d,status,n_active_wrench,dim_E,d_net,Gamma_E,Lambda_E,lambda2_zbar,V_star
3,3.0,ok,0,59,11,1.03691469053368,2.155222959563818,0.5525743294522631,71.99999999999999
3,4.0,ok,0,59,11,1.03691469053368,2.1552229671269285,0.5525743294522631,71.99999999999999
3,5.0,ok,0,59,11,1.03691469053368,2.1552229643590897,0.5525743294522631,71.99999999999999
3,6.0,ok,0,59,11,1.03691469053368,2.1552229571896935,0.5525743294522631,71.99999999999999
3,7.0,ok,0,59,11,1.03691469053368,2.1552229643174035,0.5525743294522631,71.99999999999999
3,8.0,ok,1,59,11,1.0611729610061924,1.7337684984511956,0.4329463940425203,71.11111111111109
3,9.0,ok,1,59,11,1.1286343973777342,1.178056382231484,0.27926219392839347,67.5
3,10.0,ok,1,57,10,1.4246308491225081,0.5931784037558596,0.10967031435214145,61.111111111111086
3,11.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
3,12.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
5,3.0,ok,0,59,11,0.89973246048672,1.5924571169265256,0.389090659315344,72.00000000000001
5,4.0,ok,0,59,11,0.89973246048672,1.5924571339129423,0.389090659315344,72.00000000000001
5,5.0,ok,0,59,11,0.89973246048672,1.5924571339056324,0.389090659315344,72.00000000000001
5,6.0,ok,0,59,11,0.89973246048672,1.5924571562552718,0.389090659315344,72.00000000000001
5,7.0,ok,0,59,11,0.89973246048672,1.5924571264350187,0.389090659315344,72.00000000000001
5,8.0,ok,1,59,11,0.9123055670375457,1.4345193195096715,0.30509721537747775,71.11111111111111
5,9.0,ok,1,59,11,0.9419031910563801,1.2121869075858094,0.19795607638518556,67.50000000000001
5,10.0,ok,1,53,8,0.9448476139393531,0.7482100257933825,0.08773342544822559,61.1111111111112
5,11.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
5,12.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
7,3.0,ok,0,59,11,0.9586731848569843,1.7468712358679335,0.4109577106001044,71.99999999999999
7,4.0,ok,0,59,11,0.9586731848569843,1.7468712358871663,0.4109577106001044,71.99999999999999
7,5.0,ok,0,59,11,0.9586731848569843,1.7468712358870453,0.4109577106001044,71.99999999999999
7,6.0,ok,0,59,11,0.9586731848569843,1.7468712358399492,0.4109577106001044,71.99999999999999
7,7.0,ok,0,59,11,0.9586731848569843,1.7468712169790535,0.4109577106001044,71.99999999999999
7,8.0,ok,1,59,11,0.9765116637027084,1.4878445196334522,0.3055204690576531,71.11111111111111
7,9.0,ok,1,59,11,1.0157010908439856,0.9779644576199742,0.17014907999127943,67.50000000000001
7,10.0,ok,1,41,3,0.7438904655793181,0.14260241487584202,0.029999999999999766,61.110954905227544
7,11.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
7,12.0,infeasible:ValueError,-1,-1,-1,nan,nan,nan,nan
