method,wrench_res_mean,info_margin_mean,prod_gap_mean,cert_mean,cert_lo,cert_hi
scalar_capacity,0.6572058921748596,-0.2200000000000002,34.452559758223515,0.0,0.0,0.113517091390478
wrench_only,0.0,-0.2200000000000002,4.4778746099197475,0.0,0.0,0.113517091390478
connectivity_only,0.8103334819014515,0.3009518509792296,50.305892806032304,0.0,0.0,0.113517091390478
hard_conn,0.0,0.1464041857425574,2.842170943040401e-15,1.0,0.8864829086095221,1.0
centralized,0.0,0.30982235081759696,4.34027798019555,1.0,0.8864829086095221,1.0
wise_sdp,0.0,2.546427424446183,1.60535203500937e-08,1.0,0.8864829086095221,1.0
