seed,draws,pre_successes,post_successes,pre_rate,post_rate,zero_cost,median_loss
0,30,28,30,0.9333333333333333,1.0,9,0.03198882806740498
1,30,0,30,0.0,1.0,30,-0.32820505873203715
2,30,21,30,0.7,1.0,19,-0.0029172711786140003
3,30,30,30,1.0,1.0,0,0.059949843909740494
4,30,24,30,0.8,1.0,1,0.028108366454739818
5,30,20,30,0.6666666666666666,1.0,0,0.06067998930210318
6,30,14,30,0.4666666666666667,1.0,0,0.012370742903899263
7,30,27,30,0.9,1.0,0,0.08776106197192662
8,30,11,30,0.36666666666666664,1.0,0,0.08137164139663419
9,30,20,30,0.6666666666666666,1.0,1,0.023160219975787696
10,30,26,30,0.8666666666666667,1.0,0,0.0673496909078661
11,30,30,30,1.0,1.0,4,0.035868006878248385
12,30,20,30,0.6666666666666666,1.0,1,0.03801309976143456
13,30,25,30,0.8333333333333334,1.0,0,0.17548172462582703
14,30,9,30,0.3,1.0,0,0.07323785094566469
15,30,23,30,0.7666666666666667,1.0,0,0.0887545063746748
16,30,22,30,0.7333333333333333,1.0,1,0.04213848319565823
17,30,22,30,0.7333333333333333,1.0,0,0.016850142969567786
18,30,24,30,0.8,1.0,0,0.06894801045664943
19,30,20,30,0.6666666666666666,1.0,0,0.09998574624615857
20,30,11,30,0.36666666666666664,1.0,0,0.09262301136926426
21,30,24,30,0.8,1.0,4,0.05433795888784972
22,30,30,30,1.0,1.0,0,0.02536491803917203
23,30,30,30,1.0,1.0,0,0.13410905000462764
24,30,24,30,0.8,1.0,0,0.015649588186127387
25,30,23,30,0.7666666666666667,1.0,0,0.030780478222201108
26,30,27,30,0.9,1.0,0,0.09119426213986466
27,30,30,30,1.0,1.0,0,0.06888781868191486
28,30,26,30,0.8666666666666667,1.0,13,0.0101180062345056
29,30,12,25,0.4,0.8333333333333334,0,0.05518955983982237
