seed,N,dim_E,d_net,n_active_ineq,lambda2_zbar,multiplicity_zbar,Gamma_projection,Gamma_sdp,Lambda_E,lambda2_zwise,Gamma_at_wise,multiplicity_zwise,reserve_Lambda_minus_lambda_bar,iff_forward_ok,step_norm,concavity_lhs,concavity_rhs,concavity_bound_ok,gamma_separation_ratio,zero_at_argmax_ok,proj_vs_sdp_absdiff,V_star,status,sdp_status,lamE_status
3,12,59,11,0,0.5525743294522631,1,1.0369146905348219,1.03691469053368,2.155222968136087,2.155222968137097,1.1043537016072282e-08,1,1.602648638683824,True,1.83035805334329,1.602648638683824,1.8979251544482862,True,1.0650381479684107e-08,True,1.141975403129436e-12,71.99999999999999,optimal/optimal,optimal,optimal
5,12,59,11,0,0.389090659315344,1,0.8997324604875873,0.89973246048672,1.5924571403210734,1.5924571403223624,2.5419638439042223e-08,1,1.2033664810057294,True,1.7331751067267862,1.2033664810057294,1.559393903229625,True,2.8252441203789843e-08,True,8.673062268371723e-13,72.00000000000001,optimal/optimal,optimal,optimal_inaccurate
7,12,59,11,0,0.4109577106001044,1,0.9586731848578598,0.9586731848569843,1.746871236963822,1.746871236963829,3.802659658978045e-08,1,1.3359135263637176,True,1.6974391524956156,1.3359135263637176,1.627289398423912,True,3.966586026441669e-08,True,8.755218772193984e-13,71.99999999999999,optimal/optimal,optimal,optimal_inaccurate
11,12,59,11,0,0.20149708037787328,1,0.510606145379353,0.5106061453789554,0.8663504671428942,0.8663504671431673,1.2528749928350348e-07,1,0.6648533867650209,True,1.7793817727712962,0.6648533867650209,0.9085632681523239,True,2.453701359009675e-07,True,3.9757086511826856e-13,72.0,optimal/optimal,optimal,optimal_inaccurate
13,12,59,11,0,0.23304070804857863,1,0.5452963313524256,0.54529633135198,0.9425704992938992,0.9425704992344694,3.4452698265078453e-06,1,0.7095297912453207,True,1.682762208122957,0.7095297912453207,0.9176040586272054,True,6.318160655814094e-06,True,4.4564352208453784e-13,72.0,optimal/optimal,optimal,optimal_inaccurate
17,12,59,12,0,0.7081578136541699,1,1.2428920761347684,1.2428920761330935,2.45076175588827,2.450761755888271,6.637949887141267e-09,1,1.7426039422341004,True,1.7530690125366504,1.7426039422341004,2.1788755845962693,True,5.34072910641877e-09,True,1.6748824549495112e-12,71.99999999999999,optimal/optimal,optimal_inaccurate,optimal_inaccurate
19,12,59,11,0,0.21639079427959398,1,0.4526843107481046,0.4526843107477705,0.8763131741805993,0.8763131741805986,1.2970897631994067e-08,1,0.6599223799010053,True,1.668095724261426,0.6599223799010053,0.7551207631985867,True,2.8653296180218787e-08,True,3.3412161926094086e-13,72.0,optimal/optimal,optimal,optimal_inaccurate
23,12,59,10,0,0.5597296865893777,1,0.9572596411861827,0.957259641185225,1.8757113717749925,1.875711371774904,1.2528980036265707e-07,1,1.3159816851856148,True,1.7099872268905576,1.3159816851856148,1.6369017592445732,True,1.3088382187253847e-07,True,9.5767838104166e-13,72.0,optimal/optimal,optimal,optimal_inaccurate
29,12,59,11,0,0.3788816616206148,1,0.7602072525122598,0.7602072525115078,1.4687862175895243,1.4687862175895705,7.90173227599767e-08,1,1.0899045559689096,True,1.6423533526750491,1.0899045559689096,1.2485289298901625,True,1.0394181652296268e-07,True,7.52065076881081e-13,72.0,optimal/optimal,optimal,optimal_inaccurate
31,12,59,12,0,0.38171061841544857,1,0.8492410507639045,0.849241050763067,1.6620790217992423,1.662079021799202,1.9401393970987523e-07,1,1.2803684033837937,True,1.8555052060489943,1.2803684033837937,1.575771190881389,True,2.2845567761420417e-07,True,8.375522497772181e-13,72.0,optimal/optimal,optimal,optimal
37,12,59,11,0,0.7598426383897573,1,1.7813141393775458,1.781314139375549,2.7853233060068607,2.7853233060068727,5.236617819851595e-08,1,2.0254806676171033,True,1.545639158125296,2.0254806676171033,2.7532688867411097,True,2.9397497634456127e-08,True,1.9968471320908066e-12,71.99999999999999,optimal/optimal,optimal,optimal
41,12,59,11,0,0.3392722304193672,1,0.8718374501627728,0.8718374501619334,1.4507799295408534,1.4507799295408614,1.9675404768344945e-08,1,1.1115076991214863,True,1.9061938172405621,1.1115076991214863,1.6618911571374542,True,2.2567744439849967e-08,True,8.394396289190809e-13,72.0,optimal/optimal,optimal,optimal
