seed,regime,eps,prod_loss,drift,lambda2,Lambda_E,Lambda_X,sigma_req,osc_lambda2,V_star,bound_loss,bound_drift,solver_status
0,free,0.001,1.3416467936622212e-09,5.1800710739513534e-05,1.124219790991937,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,7.332278962659866e-05,0.012109730767163955,optimal
0,free,0.003,2.688715881049575e-07,0.0007333097330750604,1.1233219328837754,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.00021996836887979598,0.02097466895470801,optimal
0,free,0.01,2.6260766787800094e-06,0.002291757697740593,1.142570950324443,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.0007332278962659866,0.03829433107565627,optimal
0,free,0.03,2.545463929948255e-05,0.0071350738329449825,1.1437217955018404,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.0021996836887979597,0.0663277270649004,optimal
0,free,0.1,0.00028332424373900267,0.023804379585586233,1.147709325081096,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.007332278962659866,0.12109730767163955,optimal
0,free,0.3,0.00251789012324366,0.07096323165190732,1.158874639915838,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.0219968368879796,0.2097466895470801,optimal
0,free,1.0,0.026955340978588538,0.2321867394085455,1.196644722510374,1.1420614380273526,1.6405065576404472,0.25,0.07332278962659866,72.0,0.07332278962659866,0.3829433107565627,optimal
1,free,0.001,1.71156528949723e-08,0.0001850170803781026,2.252823759041838,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.0001744087432150705,0.018676656189750375,optimal
1,free,0.003,1.7181316991354834e-07,0.0005861964790732088,2.260866758856549,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.0005232262296452115,0.03234891743614341,optimal
1,free,0.01,8.64991372395707e-06,0.0041593061251390395,2.265697284268908,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.001744087432150705,0.05906077263549309,optimal
1,free,0.03,7.770374330107188e-05,0.012466253911160408,2.2691477458615945,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.005232262296452114,0.10229625893894766,optimal
1,free,0.1,0.0008480054681143656,0.041182653341490294,2.281343030580379,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.01744087432150705,0.18676656189750374,optimal
1,free,0.3,0.007572391342407059,0.12306414053178472,2.3148330355457913,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.05232262296452115,0.3234891743614341,optimal
1,free,1.0,0.08001639429012641,0.4000409836257255,2.4272325022569086,2.2639576167733724,3.5531652263382507,0.25,0.1744087432150705,72.0,0.1744087432150705,0.590607726354931,optimal
2,free,0.001,3.254341152114648e-08,0.00025512126519089406,0.945201021529029,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.00012266443373170688,0.015662977605277156,optimal
2,free,0.003,3.6760576449523796e-07,0.0008574447862912393,0.9777282786500823,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.00036799330119512065,0.02712907301015354,optimal
2,free,0.01,4.431453248798789e-06,0.0029770634036196952,0.9813942342632418,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.0012266443373170688,0.04953068417288558,optimal
2,free,0.03,3.9883445737132206e-05,0.008931231244101667,0.9831271067401439,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.0036799330119512063,0.08578966152108547,optimal
2,free,0.1,0.00044716239146680437,0.02990526346638589,0.9894324584413032,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.012266443373170689,0.1566297760527716,optimal
2,free,0.3,0.003979124214026797,0.08920901539685921,1.007189742170735,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.036799330119512065,0.2712907301015354,optimal
2,free,1.0,0.04326742230013281,0.29416805503024435,1.0678654552607358,0.9804845361152581,1.5672173311328392,0.25,0.12266443373170688,71.99999999999999,0.12266443373170688,0.49530684172885575,optimal
3,free,0.001,7.653103750726586e-08,0.00039123146012798315,1.216369801877228,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.00017890297313148706,0.01891575920398053,optimal
3,free,0.003,8.618568045903885e-07,0.001312902731941179,1.2515044051847573,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.0005367089193944612,0.032763056005032896,optimal
3,free,0.01,8.173555073653915e-06,0.004043155961248601,1.2538047883244867,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.0017890297313148708,0.05981688275587204,optimal
3,free,0.03,7.322950077082169e-05,0.012102024688026347,1.2570583740953694,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.0053670891939446115,0.103605880083561,optimal
3,free,0.1,0.0007995626587415927,0.03998906497393051,1.2682495864778611,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.017890297313148708,0.1891575920398053,optimal
3,free,0.3,0.0069162658579955405,0.11761178391643945,1.2990185915189267,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.053670891939446116,0.327630560050329,optimal
3,free,1.0,0.0687856629570831,0.37090608772867384,1.395272775008715,1.2521585761250138,2.1441603842131634,0.25,0.17890297313148706,72.0,0.17890297313148706,0.5981688275587204,optimal
4,free,0.001,7.77113484673464e-09,0.00012466889508289114,1.0391895219792129,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,8.79515187846649e-05,0.013262844248852875,optimal
