seed,regime,eps,prod_loss,drift,lambda2,Lambda_E,Lambda_X,sigma_req,osc_lambda2,V_star,bound_loss,bound_drift,solver_status
4,free,0.003,1.678671566196499e-07,0.0005794258587545897,1.0686877379147026,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.00026385455635399466,0.02297192009188586,optimal
4,free,0.01,2.917316990647123e-06,0.0024154987105191594,1.069147807242591,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.0008795151878466489,0.04194079607844012,optimal
4,free,0.03,2.6461936585064905e-05,0.007274879599856732,1.070350231629402,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.002638545563539947,0.0726435897177438,optimal
4,free,0.1,0.00029389069656815536,0.024244203289921273,1.0745183280783202,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.00879515187846649,0.13262844248852876,optimal
4,free,0.3,0.0026418810776505097,0.0726894913678855,1.0862474846627934,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.026385455635399468,0.2297192009188586,optimal
4,free,1.0,0.02920926035875482,0.24169923607147226,1.1271410407638778,1.0686218034377164,1.362562067643787,0.25,0.0879515187846649,71.99999999999999,0.0879515187846649,0.4194079607844012,optimal
5,free,0.001,2.9420505143207265e-08,0.00024257172621489076,1.2824595522449194,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,6.403506809127979e-05,0.011316807685145116,optimal
5,free,0.003,2.696498171417261e-07,0.0007343702380797623,1.2817472061666746,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.00019210520427383938,0.019601285890157277,optimal
5,free,0.01,3.149512011191291e-06,0.0025097856599316515,1.2820554680860072,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.0006403506809127979,0.03578688812715623,optimal
5,free,0.03,3.034934125878408e-05,0.007790935922256992,1.2839338337247426,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.0019210520427383937,0.061984708481018023,optimal
5,free,0.1,0.00033556194701134245,0.025906059022075212,1.2885288961653938,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.00640350680912798,0.11316807685145118,optimal
5,free,0.3,0.0029742760680164793,0.07712685742355241,1.3018367403835798,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.019210520427383936,0.19601285890157275,optimal
5,free,1.0,0.031173926247490158,0.24969551957340208,1.3457822742579544,1.281891360106029,1.846880691389998,0.25,0.06403506809127979,71.99999999999999,0.06403506809127979,0.35786888127156236,optimal
6,free,0.001,8.204435175684921e-08,0.00040507860727423406,1.2234214178204923,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.00015923804810805974,0.017845898582478818,optimal
6,free,0.003,5.353344647573977e-07,0.00103473131716747,1.2381122783112233,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.00047771414432417925,0.03091000305157472,optimal
6,free,0.01,4.932698161042026e-06,0.0031409228372929476,1.240899160667033,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.0015923804810805975,0.056433686413003316,optimal
6,free,0.03,6.466257120507635e-05,0.011372121280144754,1.2441822881230165,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.004777141443241793,0.09774601212573117,optimal
6,free,0.1,0.0007183639672234676,0.03790419415374835,1.2542633479841236,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.015923804810805974,0.17845898582478817,optimal
6,free,0.3,0.006467436947204419,0.113731587056348,1.283056838539007,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.047771414432417926,0.3091000305157472,optimal
6,free,1.0,0.07146554976907282,0.37806229584305306,1.382659465928552,1.239883120792417,2.414963899684306,0.25,0.15923804810805975,72.00000000000001,0.15923804810805975,0.5643368641300331,optimal
7,free,0.001,4.3423099782557983e-08,0.00029469678041138536,0.9539573761084086,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,8.442130856648023e-05,0.012993945402877467,optimal
7,free,0.003,3.9295775877690176e-07,0.0008865187746920355,0.9541216305593331,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.0002532639256994407,0.02250617362855982,optimal
7,free,0.01,4.363018717867817e-06,0.002953986699637312,0.954729180186006,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.0008442130856648023,0.04109046326496703,optimal
7,free,0.03,3.9132268810249116e-05,0.008846724684316243,0.9565067025707638,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.002532639256994407,0.07117077008146543,optimal
7,free,0.1,0.00043387839687625274,0.029457711957189048,0.9624641250344099,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.008442130856648022,0.12993945402877466,optimal
7,free,0.3,0.0038681608354380614,0.0879563623104449,0.9797774198921527,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.025326392569944067,0.22506173628559817,optimal
7,free,1.0,0.041914272245307416,0.2895315949781505,1.0383786846748888,0.9538879401840012,1.6109938704608937,0.25,0.08442130856648022,72.0,0.08442130856648022,0.41090463264967025,optimal
