method,max_sync_err_median,max_sync_err_min,max_sync_err_max,terminal_sync_err_median,terminal_sync_err_min,terminal_sync_err_max,pose_rmse1_median,pose_rmse1_min,pose_rmse1_max,pose_rmse2_median,pose_rmse2_min,pose_rmse2_max,settling_time_median,settling_time_min,settling_time_max,peak_wrench_residual_quiet_median,peak_wrench_residual_quiet_min,peak_wrench_residual_quiet_max,alpha_fitted_median,alpha_fitted_min,alpha_fitted_max,info_norm_ratio_median,info_norm_ratio_min,info_norm_ratio_max,control_effort_median,control_effort_min,control_effort_max,min_lambda2_geo_median,min_lambda2_geo_min,min_lambda2_geo_max,min_transfer_margin_median,min_transfer_margin_min,min_transfer_margin_max,success_median,success_min,success_max
PROD,0.7854945910636948,0.7331672201384614,0.821209692764372,0.7854945910636948,0.7331672201384614,0.821209692764372,0.006627832492232142,0.0016556681026752911,0.00887124959278078,0.0204876539832159,0.018711100751525923,0.02258909133761241,nan,nan,nan,0.059874703356090686,7.889076224784888e-08,0.31915289451044065,-0.20710678118651585,-0.20710678118651585,-0.20710678118651582,528451.6728891219,528451.672889121,528451.6728891225,120.1031277398591,102.18370721072203,138.0661705271148,-6.592832518445157e-16,-8.199976775598082e-16,-5.914824888088651e-16,-8.835120429956059e-16,-1.0442264687108984e-15,-8.157112799599553e-16,0.0,0.0,0.0
HARD,0.05826575718068047,0.02293765230674183,0.07309695738784383,0.0,0.0,0.0,0.010565842540955545,0.00784061642217848,0.012071828450544818,0.010853809147695574,0.008661580702506477,0.013047517528099422,2.9462761882685307,0.0006900162499761109,4.539893205401334,8.063767161712354e-08,4.7374935075812865e-08,0.31915289451044065,0.11035847938124996,0.10869492172878091,0.11138157578139762,0.00040740203320965916,0.00039632922306209056,0.0004181201897338058,124.6396422756657,109.00916528967592,139.2765659013963,0.3755369820982183,0.3711366429639152,0.3758030780426672,0.039076072079985674,0.0346757329456826,0.03934216802443463,1.0,1.0,1.0
WISE,0.058184972221883346,0.02357593273144265,0.07364734559502001,0.0,0.0,0.0,0.01050056743128067,0.007700334627184712,0.012038329103416848,0.010813661517767678,0.008624644471977623,0.012963316763052145,3.0874977395691516,0.0006900162499761109,4.813019746760432,8.063735817034468e-08,4.6539216818715326e-08,0.31915289451044065,0.1580856278287681,0.15592668025305045,0.15943739000063573,1.2994312695136026e-05,1.2459000428702821e-05,1.352563809843428e-05,123.9639905016017,108.652942969783,138.25977789606935,0.4355634030581772,0.4298010136592092,0.4357430365801558,0.03668727550303172,0.030924886104063742,0.03686690902501033,1.0,1.0,1.0
SCALAR,0.058184972221883346,0.02357593273144265,0.07364734559502001,0.0,0.0,0.0,0.01050056743128067,0.007700334627184712,0.012038329103416848,0.010813661517767678,0.008624644471977623,0.012963316763052145,3.0874977395691516,0.0006900162499761109,4.813019746760432,8.063735817034468e-08,4.6539216818715326e-08,0.31915289451044065,0.1580856278287681,0.15592668025305045,0.15943739000063573,1.2994312695136026e-05,1.2459000428702821e-05,1.352563809843428e-05,123.9639905016017,108.652942969783,138.25977789606935,0.4355634030581772,0.4298010136592092,0.4357430365801558,0.03668727550303172,0.030924886104063742,0.03686690902501033,1.0,1.0,1.0
RANDOM-FIBER,0.6994953051489792,0.6031836519599505,0.7646911361145172,0.6994953051489792,0.6031836519599505,0.7646911361145172,0.006632108449378525,0.0016626900604188803,0.00887408640553699,0.020499861984169514,0.018567831568348774,0.023150154108163894,nan,nan,nan,0.06176034772663454,6.985555435057208e-08,0.31915289451044065,-0.20710678118651576,-0.20710678118651582,-0.2071067811865157,376281.8149137226,376264.700234295,376299.3091185729,120.88032415448683,102.59095887304247,139.0370175033237,-4.474252121021762e-16,-5.669206469150588e-16,-4.0715083443548785e-16,-3.678809806651186e-16,-4.873764154780011e-16,-3.276066029984302e-16,0.0,0.0,0.0
